,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.94,0.07,0.6,0.92
n2cms.csv,0.04,0.47,0.83,0.66
nassp.csv,0.86,0.65,0.77,0.08
nug.csv,0.61,0.93,0.06,0.63
