,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.48,0.83,0.05,0.22,0.53,0.74,0.46,0.24,0.15,0.44,0.31
libtorrent.csv,0.83,0.41,0.11,0.42,0.84,0.81,0.68,0.27,0.4,0.89,0.56
mcmc-jags.csv,0.63,0.55,0.1,0.74,0.75,0.77,0.71,0.34,0.27,0.88,0.61
natpad.csv,0.59,0.64,0.09,0.46,0.75,0.67,0.73,0.39,0.3,0.89,0.65
nebuladevice.csv,0.7,0.07,0.0,0.38,0.0,0.48,0.31,0.0,0.47,0.83,0.0
olap-navigator.csv,0.89,0.39,0.16,0.53,0.71,0.58,0.57,0.31,0.42,0.9,0.49
pidgin.csv,0.71,0.55,0.13,0.35,0.82,0.58,0.55,0.34,0.28,0.8,0.51
salasaga.csv,0.59,0.56,0.07,0.39,0.72,0.58,0.69,0.43,0.19,0.89,0.63
sepgsql.csv,0.69,0.38,0.2,0.36,0.73,0.47,0.62,0.34,0.11,0.85,0.57
xstore.csv,0.61,0.37,0.09,0.5,0.84,0.48,0.71,0.36,0.24,0.9,0.6
xtreemfs.csv,0.77,0.43,0.09,0.45,0.79,0.67,0.72,0.27,0.07,0.91,0.64
