,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.6,0.79,0.03,0.18,0.7,0.82,0.45,0.14,0.1,0.72,0.28
libtorrent.csv,0.74,0.41,0.06,0.3,0.74,0.95,0.56,0.17,0.25,0.88,0.4
mcmc-jags.csv,0.7,0.45,0.05,0.65,0.75,0.86,0.59,0.26,0.17,0.87,0.49
natpad.csv,0.87,0.53,0.05,0.33,0.8,0.9,0.61,0.25,0.22,0.9,0.58
nebuladevice.csv,0.68,0.17,0.0,0.26,0.0,0.86,0.46,0.0,0.34,0.92,0.0
olap-navigator.csv,0.98,0.42,0.09,0.53,0.83,1.0,0.6,0.22,0.3,0.93,0.65
pidgin.csv,0.92,0.55,0.08,0.5,0.86,0.88,0.68,0.24,0.29,0.93,0.52
salasaga.csv,0.68,0.46,0.04,0.29,0.84,0.88,0.64,0.3,0.19,0.9,0.63
sepgsql.csv,0.97,0.4,0.11,0.57,0.88,1.0,0.75,0.25,0.25,0.97,0.65
xstore.csv,0.67,0.44,0.05,0.67,0.76,0.94,0.76,0.25,0.17,0.86,0.44
xtreemfs.csv,0.86,0.4,0.05,0.36,0.74,0.9,0.62,0.17,0.08,0.94,0.52
