,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.59,0.17,0.71,0.43,0.47,0.78,0.66,0.98,0.66,0.66,0.61
libtorrent.csv,0.74,0.43,0.74,0.55,0.88,0.22,0.76,0.61,0.58,0.67,0.94
mcmc-jags.csv,0.56,0.6,0.74,0.17,0.64,0.61,0.68,0.25,0.7,0.72,0.56
natpad.csv,0.15,0.53,0.98,0.52,0.47,0.33,0.66,0.45,0.35,0.51,0.34
nebuladevice.csv,0.78,0.17,0.0,0.67,0.0,0.28,0.32,0.0,0.3,0.36,0.0
olap-navigator.csv,0.04,0.37,0.46,0.17,0.31,0.0,0.41,0.34,0.32,0.36,0.14
pidgin.csv,0.11,0.33,0.25,0.1,0.31,0.33,0.24,0.32,0.14,0.3,0.3
salasaga.csv,0.56,0.63,0.42,0.52,0.31,0.33,0.49,0.29,0.18,0.54,0.25
sepgsql.csv,0.04,0.4,0.31,0.07,0.22,0.0,0.2,0.26,0.04,0.11,0.19
xstore.csv,0.63,0.3,0.97,0.07,0.73,0.11,0.24,0.35,0.42,0.79,0.84
xtreemfs.csv,0.26,0.5,0.94,0.38,0.73,0.33,0.59,0.52,0.15,0.3,0.52
