,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.32,0.47,0.97,0.07,0.38,0.48,0.76,0.46,0.07,0.38,0.57,0.49,0.71
avisynth2.csv,0.0,0.0,0.0,0.67,0.0,0.0,0.03,0.0,1.0,0.01,0.0,0.0,0.0
beast-mcmc.csv,0.96,0.38,0.34,0.1,0.32,0.75,0.51,0.53,0.19,0.4,0.34,0.4,0.75
dataobjectsdotnet.csv,0.4,0.61,0.45,0.09,0.14,0.51,0.59,0.44,0.14,0.98,0.34,0.3,0.25
exist.csv,0.48,0.46,0.18,0.0,0.28,0.99,0.59,0.32,0.09,0.34,0.52,0.0,0.24
foursquared.csv,0.46,0.19,0.09,0.0,0.16,0.23,0.28,0.98,0.0,0.32,0.07,0.2,0.27
jaxlib.csv,0.06,0.07,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.02
jrefactory.csv,0.38,0.98,0.61,0.06,0.4,0.47,0.46,0.43,0.1,0.53,0.45,0.37,0.53
nodal.csv,0.32,0.38,0.37,0.0,0.98,0.39,0.52,0.39,0.1,0.48,0.16,0.35,0.18
opendvr.csv,0.38,0.5,0.62,0.08,0.37,0.63,0.71,0.5,0.14,0.56,0.35,0.98,0.56
pokenetonline.csv,0.51,0.58,0.42,0.11,0.33,0.76,0.99,0.62,0.12,0.46,0.55,0.41,0.62
simplewebservices.csv,0.46,0.65,0.25,0.0,0.48,0.68,0.67,0.52,0.05,0.58,0.99,0.32,0.62
uface.csv,0.44,0.54,0.67,0.04,0.39,0.72,0.81,0.54,0.09,0.51,0.29,0.46,1.0
