,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.72,0.76,0.05,0.74,0.67,0.78,0.64,0.62,0.87,0.77,0.67,0.76,0.47
avisynth2.csv,1.0,1.0,1.0,0.5,1.0,1.0,0.98,1.0,0.0,0.99,1.0,1.0,1.0
beast-mcmc.csv,0.08,0.77,0.79,0.73,0.78,0.69,0.65,0.75,0.4,0.72,0.77,0.64,0.75
dataobjectsdotnet.csv,0.65,0.64,0.78,0.64,0.91,0.72,0.63,0.63,0.6,0.03,0.77,0.81,0.86
exist.csv,0.53,0.77,0.91,1.18,0.77,0.02,0.59,0.77,0.73,0.77,0.58,1.01,0.86
foursquared.csv,0.65,0.9,0.95,1.0,0.91,0.87,0.83,0.04,1.0,0.8,0.96,0.87,0.84
jaxlib.csv,0.97,0.96,0.9,0.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,0.99
jrefactory.csv,0.65,0.03,0.68,0.83,0.73,0.7,0.76,0.68,0.68,0.59,0.66,0.89,0.95
nodal.csv,0.76,0.78,0.77,1.15,0.04,0.84,0.68,0.69,0.71,0.63,0.9,0.71,0.9
opendvr.csv,0.77,0.69,0.64,0.92,0.97,0.62,0.91,0.8,0.58,0.83,0.76,0.05,0.78
pokenetonline.csv,0.54,0.8,0.83,0.69,0.76,0.65,0.02,0.63,0.68,0.71,0.57,0.64,0.64
simplewebservices.csv,0.58,0.59,0.86,1.16,0.53,0.74,0.55,0.74,0.86,0.59,0.01,0.74,0.7
uface.csv,0.87,0.8,1.0,1.03,0.84,0.72,0.8,0.83,0.94,0.8,0.81,0.79,0.01
