,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.31,0.54,0.98,0.04,0.29,0.52,0.75,0.41,0.04,0.4,0.46,0.33,0.81
avisynth2.csv,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0
beast-mcmc.csv,1.0,0.56,0.76,0.05,0.62,0.64,0.91,0.38,0.11,0.52,0.59,0.36,0.69
dataobjectsdotnet.csv,0.43,0.62,0.5,0.05,0.4,0.56,0.76,0.48,0.08,0.99,0.41,0.24,0.65
exist.csv,0.4,0.52,0.41,0.0,0.3,0.99,0.84,0.31,0.05,0.43,0.54,0.0,0.83
foursquared.csv,0.7,0.5,0.75,0.0,1.0,0.59,0.91,1.0,0.0,0.69,0.4,0.38,0.72
jaxlib.csv,1.0,0.67,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.5
jrefactory.csv,0.31,0.98,0.58,0.03,0.28,0.59,0.68,0.36,0.05,0.53,0.49,0.25,0.56
nodal.csv,0.48,0.54,0.55,0.0,1.0,0.46,0.75,0.47,0.06,0.56,0.45,0.39,0.69
opendvr.csv,0.26,0.59,0.6,0.04,0.24,0.62,0.67,0.36,0.08,0.43,0.49,1.0,0.62
pokenetonline.csv,0.37,0.54,0.46,0.06,0.24,0.65,1.0,0.45,0.07,0.44,0.51,0.34,0.71
simplewebservices.csv,0.34,0.65,0.48,0.0,0.37,0.59,0.8,0.38,0.03,0.52,0.98,0.29,0.67
uface.csv,0.29,0.53,0.53,0.02,0.26,0.62,0.73,0.38,0.05,0.41,0.4,0.32,1.0
