,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.38,0.38,0.35,0.36,0.32,0.33,0.56,0.41,0.32,0.45,0.36,0.43,0.36,0.35,0.35
cornerstone.csv,0.5,0.95,0.42,0.83,0.33,0.41,0.68,0.81,0.45,0.53,0.89,0.81,0.33,0.33,0.0
esmf.csv,0.48,0.7,0.92,0.46,0.54,0.36,0.67,0.76,0.6,0.9,0.49,0.52,0.86,0.59,0.51
frogatto.csv,0.36,0.39,0.31,0.36,0.34,0.33,0.62,0.39,0.34,0.43,0.35,0.42,0.43,0.4,0.36
gretl.csv,0.48,0.47,0.36,0.49,0.42,0.5,0.42,0.45,0.42,0.6,0.44,0.53,0.43,0.32,0.52
kindb.csv,0.38,0.4,0.3,0.35,0.4,0.38,0.49,0.33,0.51,0.5,0.37,0.5,0.45,0.3,0.42
libtorrent.csv,0.41,0.44,0.47,0.43,0.38,0.33,0.42,0.49,0.4,0.48,0.36,0.59,0.38,0.45,0.39
mia.csv,0.57,0.91,0.83,0.53,0.75,0.41,0.8,0.8,0.48,0.89,0.48,0.72,0.0,0.42,0.65
open-beos.csv,0.45,0.51,0.41,0.47,0.36,0.52,0.52,0.52,0.36,0.56,0.43,0.47,0.55,0.43,0.57
pidgin.csv,0.57,0.71,0.45,0.5,0.33,0.38,0.59,0.45,0.43,0.73,0.5,0.38,0.41,0.64,0.45
quantlib.csv,0.68,0.43,0.37,0.4,0.37,0.72,0.67,0.93,0.44,0.0,0.42,0.97,0.0,0.44,0.62
riff-evolve.csv,0.59,0.52,0.41,0.56,0.4,0.42,0.52,0.37,0.52,0.8,0.45,0.54,0.39,0.53,0.86
tokratan.csv,0.49,0.4,0.92,0.43,0.36,0.48,0.67,0.41,0.39,0.56,0.38,0.48,0.86,0.39,0.93
upp-mirror.csv,0.93,0.49,0.42,0.58,0.44,0.91,0.91,0.54,0.54,0.5,0.48,0.79,0.58,0.47,0.69
wxcrp.csv,0.46,0.44,0.46,0.41,0.34,0.42,0.48,0.4,0.37,0.38,0.43,0.43,0.47,0.6,0.37
