,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,2.0,27.0,0.0,78.0,11.0,2.0,0.0,0.0,4.0,0.0
electric-core.csv,59.0,0.0,2.0,4.0,1.0,7.0,12.0,1.0,19.0,0.0
jahshakafx.csv,0.0,4.0,0.0,1.0,5.0,0.0,1.0,0.0,4.0,0.0
jython.csv,45.0,10.0,0.0,13.0,6.0,4.0,5.0,1.0,4.0,0.0
kftpgrabber.csv,7.0,6.0,7.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0
mvnforum.csv,71.0,6.0,0.0,12.0,0.0,4.0,14.0,2.0,15.0,0.0
openmalaria.csv,6.0,19.0,2.0,2.0,1.0,1.0,0.0,0.0,6.0,0.0
plplot.csv,9.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0
popeye-chess.csv,4.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0,3.0
zxing.csv,11.0,4.0,1.0,3.0,1.0,0.0,3.0,0.0,11.0,0.0
