,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.55,0.14,0.59,0.0,0.24,0.4,0.68,1.0,0.33,0.81
electric-core.csv,0.36,1.0,0.37,0.38,0.29,0.26,0.4,0.69,0.26,0.74
jahshakafx.csv,0.99,0.48,0.9,0.92,0.26,0.64,0.82,0.6,0.58,0.87
jython.csv,0.41,0.31,0.95,0.44,0.31,0.47,0.64,0.8,0.47,0.82
kftpgrabber.csv,0.43,0.33,0.23,0.61,0.11,0.5,0.4,0.69,1.0,0.76
mvnforum.csv,0.25,0.22,0.78,0.36,1.0,0.27,0.24,0.5,0.12,0.88
openmalaria.csv,0.47,0.27,0.31,0.67,0.24,0.43,1.0,0.71,0.4,0.82
plplot.csv,0.44,0.26,0.12,0.7,0.29,1.0,0.62,0.68,0.46,0.88
popeye-chess.csv,0.53,0.28,0.09,1.0,0.29,0.6,0.71,0.81,0.45,0.85
zxing.csv,0.46,0.5,0.73,0.62,0.34,0.46,0.61,0.64,0.36,1.0
