,migen.csv,acegisecurity.csv,openxava.csv,motu.csv,irrlicht.csv,truevision.csv,zoolib.csv,emite.csv
acegisecurity.csv,0.53,0.95,0.56,0.46,0.45,0.42,0.65,0.32
emite.csv,0.29,0.38,0.5,0.54,0.26,0.71,0.26,0.97
irrlicht.csv,0.44,0.38,0.31,0.77,0.99,0.87,0.77,0.1
migen.csv,0.94,0.32,0.75,0.54,0.43,0.74,0.32,0.16
motu.csv,0.21,0.12,0.12,0.85,0.06,0.08,0.0,0.0
openxava.csv,0.35,0.72,0.94,0.77,0.21,0.34,0.1,0.87
truevision.csv,0.91,0.85,1.0,0.92,0.48,0.92,0.52,0.74
zoolib.csv,0.0,0.05,0.06,0.08,0.06,0.03,0.87,0.1
