,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,374.0,97.5,97.5,2071.0,367.0,285.5,98.5,197.5,197.5,99.0
pclasses.csv,186.0,97.5,0.0,304.5,77.5,65.0,98.5,98.5,187.5,0.0
pfaedit.csv,179.5,97.5,0.0,728.0,185.0,227.5,98.5,381.5,98.5,90.5
theresa.csv,729.5,97.5,97.5,414.5,751.5,65.5,95.5,1220.5,98.5,97.5
thrust.csv,592.0,94.5,96.5,0.0,97.5,272.5,94.5,1219.5,98.5,99.0
tktoolkit.csv,764.5,97.5,97.5,822.5,196.5,545.0,97.5,647.5,98.5,99.0
trinitycore.csv,186.0,97.5,33.5,825.0,279.0,285.5,98.5,197.0,295.0,95.5
tzod.csv,941.0,97.5,94.5,1684.5,462.5,93.5,164.0,197.0,98.5,99.0
yaprm.csv,368.0,436.5,0.0,1315.5,276.5,573.5,98.5,934.0,98.5,97.5
zemljanka.csv,373.0,97.5,97.5,877.5,196.5,189.0,98.5,197.0,197.5,99.0
