,f1,g,recall,precision,pf,wins
acdk.csv,0.37,0.44,0.4,0.55,0.21,6
all-plasm.csv,0.28,0.31,0.29,0.5,0.17,2
awemud.csv,0.43,0.48,0.55,0.52,0.36,7
buddata-ebxml-registry.csv,0.6,0.3,0.96,0.44,0.92,4
bullet.csv,0.57,0.56,0.58,0.6,0.31,18
dvd-create.csv,0.6,0.57,0.74,0.51,0.68,10
gbif-indexingtoolkit.csv,0.46,0.52,0.62,0.42,0.6,5
go.csv,0.62,0.57,0.77,0.46,0.61,12
gss.csv,0.62,0.66,0.81,0.5,0.63,17
jmule.csv,0.56,0.58,0.64,0.48,0.57,8
kwave.csv,0.57,0.54,0.91,0.42,0.75,9
libarchive.csv,0.61,0.54,0.81,0.49,0.62,13
linux-ntfs.csv,0.57,0.58,0.63,0.57,0.45,16
lsb.csv,0.59,0.61,0.69,0.52,0.52,15
mp-rechnungs-und-kundenverwaltung.csv,0.47,0.48,0.43,0.59,0.22,11
qcad2.csv,0.53,0.57,0.64,0.55,0.41,14
qtwin.csv,0.15,0.18,0.15,0.37,0.07,0
stemkit.csv,0.33,0.38,0.34,0.5,0.22,3
xinity.csv,0.45,0.37,0.58,0.38,0.65,1
