,empyrean.csv,amanda.csv,nutz.csv,bdbbasic.csv,gnome-jabber.csv
amanda.csv,0.63,0.96,0.6,0.63,0.19
bdbbasic.csv,0.46,0.51,0.65,1.0,0.42
empyrean.csv,0.99,0.44,0.65,0.6,0.3
gnome-jabber.csv,0.4,0.48,0.29,0.47,0.88
nutz.csv,0.27,0.31,1.0,0.37,0.0
