,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.22,0.06,0.04,0.38,0.2,0.44,0.08,0.0,0.19,0.24,0.0,0.39,0.26,0.1,0.04,0.39
bdbbasic.csv,0.43,0.1,0.06,0.4,0.33,0.48,0.0,0.0,0.65,0.78,0.19,0.4,0.43,0.05,0.05,0.34
crux-framework.csv,0.12,0.39,0.22,0.05,0.0,0.15,0.04,0.08,0.17,0.02,0.15,0.0,0.03,0.08,0.5,0.07
echongl.csv,0.53,0.35,0.08,0.59,0.41,0.45,0.64,0.76,0.51,0.9,0.43,0.36,0.71,0.72,0.04,0.51
etherboot.csv,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.02,0.0,0.0,0.0,0.28,0.0,0.0,0.14,0.64
freebios.csv,0.22,0.32,0.03,0.5,0.38,0.29,0.67,0.51,0.36,0.66,0.34,0.21,0.55,0.32,0.07,0.16
gebr.csv,0.45,0.25,0.07,0.67,0.42,0.48,0.66,0.84,0.44,0.83,0.45,0.32,0.85,0.74,0.05,0.64
gnukeda.csv,0.47,0.26,0.05,0.8,0.45,0.47,0.48,0.67,0.34,0.72,0.44,0.18,0.85,0.29,0.04,0.61
google-gears.csv,0.48,0.37,0.07,0.7,0.43,0.48,0.63,0.84,0.44,0.83,0.44,0.32,0.86,0.74,0.05,0.64
gstreamer.csv,0.5,0.21,0.03,0.61,0.41,0.48,0.44,0.68,0.47,0.8,0.43,0.34,0.77,0.76,0.06,0.64
jnode.csv,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
metacosm.csv,0.27,0.44,0.0,0.22,0.26,0.47,0.13,0.37,0.29,0.48,0.35,0.32,0.19,0.33,0.0,0.73
openmeetings.csv,0.22,0.54,0.0,0.1,0.3,0.0,0.0,0.04,0.43,0.19,0.31,0.0,0.02,0.09,0.0,0.41
pgui.csv,0.37,0.37,0.0,0.6,0.44,0.52,0.0,0.68,0.52,0.0,0.47,0.35,0.48,0.0,0.05,0.64
tradelink.csv,0.31,0.08,0.05,0.18,0.28,0.05,0.07,0.26,0.19,0.02,0.26,0.33,0.14,0.16,0.0,0.45
wxcrp.csv,0.59,0.24,0.08,0.48,0.4,0.55,0.08,0.83,0.27,0.11,0.18,0.24,0.36,0.18,0.07,0.56
