,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,0.25,0.52,0.76,0.43,0.26,0.47,0.45,0.51,0.56,0.42,0.49,0.54,0.89,0.0,0.65,0.82,0.44
cubefs.csv,0.25,0.16,0.18,0.14,0.34,0.41,0.09,0.58,0.58,0.36,0.7,0.53,0.0,0.39,0.25,0.36,0.39
gwanted.csv,0.71,0.61,0.51,0.8,0.7,0.32,0.59,0.46,0.43,0.72,0.43,0.15,0.0,0.04,0.6,0.02,0.38
iaml.csv,0.19,0.29,0.43,0.35,0.89,0.3,0.31,0.34,0.67,0.43,0.12,0.13,0.0,0.35,0.37,0.1,0.3
java-gnome.csv,0.86,0.18,0.15,0.14,0.38,0.34,0.02,0.38,0.36,0.43,0.3,0.81,0.96,0.11,0.36,0.36,0.65
mecat.csv,0.58,0.21,0.41,0.29,0.69,0.01,0.0,0.13,0.01,0.34,0.0,0.06,0.0,0.0,0.97,0.0,0.27
mvdsv.csv,0.63,0.05,0.02,0.29,0.99,0.02,0.35,0.15,0.07,0.13,0.11,0.32,0.0,0.0,0.69,0.02,0.13
openwbem.csv,0.73,0.6,0.68,0.58,0.66,0.64,0.48,0.47,0.32,0.63,0.63,0.38,0.86,0.65,0.54,0.31,0.67
orc.csv,0.06,0.53,0.58,0.9,0.0,0.06,0.58,0.36,0.22,0.47,0.4,0.16,0.0,0.0,0.75,0.17,0.33
plato.csv,0.38,0.0,0.0,0.2,0.0,0.39,0.84,0.41,0.66,0.63,0.35,0.32,0.0,0.0,0.59,0.39,0.0
rodin-b-sharp.csv,0.58,0.0,0.0,0.49,0.67,0.15,0.54,0.84,0.42,0.42,0.15,0.78,0.0,0.0,0.32,0.45,0.2
ta3d.csv,0.72,0.18,0.09,0.15,0.0,0.36,0.06,0.11,0.36,0.36,0.07,0.42,0.0,0.0,0.0,0.2,0.59
tycho.csv,0.76,0.61,0.61,0.53,0.37,0.45,0.45,0.45,0.4,0.59,0.46,0.48,0.89,0.72,0.82,0.4,0.52
umber.csv,0.85,0.68,0.0,0.05,0.51,0.44,0.0,0.21,0.48,0.33,0.24,0.24,0.0,0.32,0.09,0.13,0.48
vienna-add-in.csv,0.68,0.52,0.0,0.42,0.0,0.7,0.55,0.38,0.33,0.5,0.53,0.24,0.85,0.65,0.34,0.43,0.43
wpdev.csv,0.09,0.05,1.0,0.09,0.3,0.09,0.0,0.0,0.26,0.29,0.0,0.0,0.56,0.17,0.3,0.38,0.0
