,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,0.22,0.34,0.99,0.07,0.04,0.64,0.94,0.34,0.62,0.13,0.67,0.78,0.04,0.52,0.07,0.87,0.62
cubefs.csv,0.57,0.29,1.0,0.04,0.05,0.74,1.0,0.48,0.6,0.28,0.81,0.83,0.0,0.75,0.03,0.91,0.7
gwanted.csv,0.36,0.48,1.0,0.19,0.27,0.74,0.85,0.44,0.71,0.38,0.64,0.78,0.0,1.0,0.06,0.25,0.71
iaml.csv,0.12,0.41,1.0,0.19,0.21,0.51,1.0,0.3,0.75,0.2,0.73,0.5,0.0,0.61,0.06,0.71,0.75
java-gnome.csv,0.8,0.34,1.0,0.09,0.1,0.69,0.33,0.49,0.56,0.22,0.91,0.94,0.09,0.43,0.04,0.62,0.74
mecat.csv,1.0,0.62,1.0,0.24,0.21,0.5,0.0,0.41,0.33,0.4,0.0,1.0,0.0,0.0,0.27,0.0,0.73
mvdsv.csv,1.0,0.44,1.0,0.31,0.75,1.0,0.78,0.7,0.53,0.09,0.7,0.76,0.0,0.0,0.12,0.5,0.8
openwbem.csv,0.35,0.55,0.99,0.12,0.14,0.72,0.81,0.31,0.68,0.3,0.73,0.74,0.04,0.76,0.05,0.56,0.8
orc.csv,0.14,0.48,1.0,0.33,0.0,0.36,0.85,0.37,0.47,0.23,0.62,0.53,0.0,0.0,0.07,0.6,0.83
plato.csv,0.28,0.36,0.99,0.08,0.09,0.67,0.95,0.37,0.64,0.21,0.66,0.89,0.02,0.56,0.06,0.66,0.69
rodin-b-sharp.csv,1.0,1.0,0.96,0.37,0.12,0.71,0.83,0.78,0.47,0.13,0.69,0.88,0.0,0.0,0.02,0.59,0.46
ta3d.csv,0.42,0.33,1.0,0.14,0.0,0.57,0.67,0.33,0.62,0.28,1.0,0.91,0.0,0.0,0.0,0.44,0.75
tycho.csv,0.37,0.39,0.99,0.17,0.13,0.71,0.94,0.3,0.66,0.3,0.65,0.86,0.04,0.81,0.09,0.68,0.72
umber.csv,0.7,0.45,0.98,0.1,0.1,0.62,0.84,0.37,0.57,0.15,0.7,0.79,0.0,0.45,0.05,0.66,0.68
vienna-add-in.csv,0.34,0.35,0.97,0.08,0.0,0.8,0.84,0.26,0.51,0.15,0.76,0.63,0.03,0.62,0.03,0.63,0.63
wpdev.csv,0.26,0.36,1.0,0.1,0.09,0.66,0.84,0.36,0.55,0.16,0.69,0.77,0.02,0.56,0.05,0.63,0.68
