,nova.csv,crisscross.csv,mb-unit.csv,ivatamasks.csv,ivataopenportal.csv,kolmafia.csv,olex2.csv
crisscross.csv,0.0,0.0,0.16,0.04,0.07,0.46,0.14
ivatamasks.csv,0.52,0.69,0.54,0.0,0.57,0.64,0.48
ivataopenportal.csv,0.8,0.42,0.91,0.47,0.02,0.85,0.86
kolmafia.csv,0.11,0.05,0.18,0.19,0.32,0.0,0.37
mb-unit.csv,0.07,0.5,0.05,0.91,0.86,0.82,0.37
nova.csv,0.0,0.62,0.4,0.72,0.52,0.41,0.62
olex2.csv,0.05,0.14,0.15,0.34,0.21,0.31,0.01
