,nova.csv,crisscross.csv,mb-unit.csv,ivatamasks.csv,ivataopenportal.csv,kolmafia.csv,olex2.csv
crisscross.csv,0.14,0.98,0.44,0.47,0.13,0.38,0.25
ivatamasks.csv,0.2,0.12,0.63,0.99,0.53,0.56,0.37
ivataopenportal.csv,0.32,0.32,0.89,0.73,0.97,0.68,0.64
kolmafia.csv,0.29,0.14,0.46,0.55,0.5,1.0,0.5
mb-unit.csv,0.4,0.33,0.99,0.82,0.69,0.66,0.6
nova.csv,0.96,0.31,0.61,0.75,0.59,0.63,0.59
olex2.csv,0.24,0.29,0.56,0.74,0.52,0.58,0.97
