,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv,javaprofiler.csv
adonthell.csv,88.5,98.5,97.5,292.0,98.5,98.5,95.5,97.5,602.5,474.5,257.5,867.0,192.0,80.5,564.0,99.0,99.0,98.5
autofac.csv,99.0,98.5,97.5,95.5,98.5,94.5,98.5,196.0,92.5,1050.0,1619.5,394.0,99.0,96.5,88.5,99.0,99.0,98.5
azureus.csv,98.5,98.5,97.5,292.0,98.5,98.5,98.5,196.0,97.5,759.5,531.0,194.0,99.0,96.5,564.0,99.0,99.0,98.5
dsworkbench.csv,94.5,95.5,97.5,69.5,190.0,96.5,116.0,89.5,92.5,85.5,83.5,96.5,192.0,47.5,111.0,99.0,99.0,311.0
forester-atv.csv,99.0,98.5,93.5,82.5,64.5,92.5,318.0,92.5,97.5,89.5,362.0,390.5,99.0,283.0,77.5,79.5,98.5,97.5
freelords.csv,99.0,98.5,97.5,292.0,98.5,98.5,95.5,196.0,97.5,660.5,376.0,394.0,99.0,96.5,185.0,97.5,99.0,97.5
gabel.csv,0.0,98.5,97.5,85.5,98.5,98.5,98.5,196.0,81.0,594.5,362.0,194.5,96.5,96.5,160.0,174.0,95.5,98.5
gephex.csv,98.5,86.5,97.5,292.0,576.0,98.5,98.5,97.5,97.5,381.0,355.0,588.0,99.0,96.5,564.0,99.0,99.0,98.5
google-collections.csv,98.5,98.5,97.5,292.0,98.5,98.5,98.5,196.0,97.5,759.5,376.0,394.0,99.0,96.5,564.0,99.0,99.0,98.5
javaprofiler.csv,98.5,98.5,97.5,193.0,98.5,98.5,98.5,196.0,94.5,737.0,376.0,394.0,99.0,96.5,182.0,97.5,99.0,98.5
jpaul.csv,98.5,98.5,97.5,91.5,0.0,98.5,98.5,194.0,94.5,556.0,281.5,97.5,99.0,96.5,277.5,12.5,97.5,97.5
mycila.csv,93.5,85.5,192.0,292.0,98.5,98.5,941.5,97.5,97.5,759.5,170.0,291.5,98.5,96.5,464.5,99.0,97.5,98.5
neodatis-odb.csv,99.0,98.5,192.0,312.0,96.5,86.5,98.5,196.0,97.5,759.5,265.5,288.5,99.0,96.5,70.5,195.0,98.5,96.5
octet.csv,95.5,85.5,97.5,459.0,64.5,92.5,95.5,95.5,97.5,89.5,266.5,191.0,98.5,96.5,44.5,96.5,99.0,94.5
personalaccess.csv,98.5,98.5,95.5,177.0,98.5,98.5,98.5,95.5,94.5,566.0,281.5,97.5,98.5,96.5,74.5,194.0,99.0,94.5
rcp-company-uibindings.csv,98.5,98.5,97.5,193.0,98.5,98.5,95.5,194.0,97.5,453.5,576.5,97.5,99.0,96.5,278.5,99.0,99.0,92.5
scenemonitor.csv,97.5,98.5,97.5,292.0,85.5,98.5,95.5,94.5,92.5,365.0,449.5,295.0,96.5,96.5,370.0,92.5,93.5,97.5
servicestack.csv,0.0,98.5,97.5,262.5,0.0,84.5,95.5,194.0,12.5,407.0,91.5,382.0,99.0,47.5,277.5,12.5,98.5,68.5
