,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,netatalk.csv,fmri-dmt.csv,bibletime.csv,passwordsafe.csv,xmoto.csv,genoviz.csv,miranda.csv
badtrinity-zero.csv,0.98,0.8,0.55,0.55,0.73,0.89,0.61,0.48,0.45,0.49,0.34,0.46,0.49,0.38,0.54,0.39,0.42,0.47,0.38,0.4
bibletime.csv,0.45,0.48,0.4,0.42,0.4,0.45,0.43,0.46,0.45,0.41,0.35,0.38,0.37,0.4,0.35,0.38,0.45,0.49,0.33,0.34
critterding.csv,0.99,0.63,0.44,0.57,0.55,0.58,0.66,0.62,0.46,0.77,0.44,0.51,0.51,0.64,0.41,0.56,0.57,0.58,0.45,0.44
etics.csv,0.95,0.67,0.69,0.83,0.95,0.95,0.86,0.97,0.44,0.95,0.46,0.92,0.64,0.5,0.5,0.67,0.94,0.81,0.86,0.98
fmri-dmt.csv,0.97,0.5,0.0,0.5,0.92,0.0,0.67,0.93,0.67,0.0,0.67,0.75,0.0,0.0,0.8,0.5,0.0,0.5,0.5,0.75
genecys.csv,0.39,0.44,0.43,0.47,0.42,0.41,0.46,0.48,0.44,0.38,0.54,0.42,0.43,0.42,0.36,0.37,0.49,0.42,0.3,0.34
genoviz.csv,0.68,0.88,0.73,0.79,0.96,0.82,0.75,0.95,0.43,0.77,0.57,0.59,0.67,0.5,0.83,0.65,0.93,0.88,0.8,0.69
kftpgrabber.csv,0.55,0.6,0.67,0.83,0.6,0.55,0.5,0.65,0.34,0.49,0.56,0.54,0.53,0.92,0.61,0.57,0.53,0.48,0.42,0.41
kvs.csv,0.44,0.57,0.81,0.65,0.87,0.41,0.76,0.83,0.42,0.73,0.54,0.63,0.75,0.87,0.62,0.83,0.97,0.92,0.89,0.51
mcore3d.csv,0.44,0.51,0.52,0.4,0.47,0.39,0.38,0.41,0.46,0.38,0.35,0.34,0.38,0.33,0.31,0.35,0.42,0.46,0.3,0.34
miranda.csv,0.59,0.59,0.53,0.59,0.54,0.5,0.52,0.53,0.4,0.4,0.37,0.44,0.53,0.39,0.47,0.39,0.46,0.5,0.37,0.41
modplug.csv,0.4,0.44,0.39,0.48,0.61,0.37,0.95,0.49,0.39,0.41,0.88,0.41,0.42,0.34,0.32,0.94,0.96,0.43,0.35,0.33
monetdb.csv,0.55,0.67,0.83,0.71,0.57,0.67,0.88,0.64,0.39,0.6,0.57,0.53,0.54,0.73,0.68,0.79,0.75,0.63,0.4,0.51
netatalk.csv,0.59,0.57,0.58,0.57,0.55,0.54,0.74,0.55,0.34,0.4,0.47,0.48,0.54,0.69,0.45,0.44,0.55,0.59,0.4,0.42
ogrehg.csv,0.48,0.49,0.75,0.53,0.58,0.46,0.53,0.64,0.57,0.56,0.44,0.49,0.6,0.52,0.9,0.46,0.53,0.57,0.38,0.44
passwordsafe.csv,0.48,0.51,0.69,0.58,0.55,0.46,0.55,0.61,0.39,0.63,0.47,0.54,0.51,0.68,0.45,0.52,0.63,0.63,0.55,0.47
projecteqemu.csv,0.68,0.63,0.75,0.7,0.63,0.75,0.67,0.74,0.52,0.55,0.57,0.65,0.54,0.7,0.6,0.55,0.76,0.71,0.52,0.53
reactos-mirror.csv,0.63,0.55,0.37,0.51,0.49,0.51,0.48,0.52,0.41,0.53,0.44,0.52,0.49,0.42,0.34,0.5,0.6,0.58,0.33,0.37
xbplayer.csv,0.64,0.5,0.79,0.71,0.79,0.64,0.71,0.78,0.71,0.92,0.6,0.68,0.54,0.88,0.89,0.86,0.91,0.61,0.45,0.58
xmoto.csv,0.39,0.42,0.67,0.54,0.56,0.51,0.46,0.51,0.3,0.36,0.41,0.48,0.48,0.45,0.4,0.65,0.55,0.53,0.35,0.35
