,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,netatalk.csv,fmri-dmt.csv,bibletime.csv,passwordsafe.csv,xmoto.csv,genoviz.csv,miranda.csv
badtrinity-zero.csv,0.02,0.0,0.29,0.0,0.26,0.03,0.38,0.35,0.56,0.54,0.44,0.33,0.56,0.42,0.42,0.36,0.45,0.41,0.69,0.53
bibletime.csv,0.53,0.61,0.57,0.59,0.68,0.63,0.74,0.61,0.78,0.62,0.71,0.38,0.61,0.82,0.73,0.0,0.5,0.61,0.82,0.94
critterding.csv,0.11,0.0,0.62,0.51,0.6,0.57,0.34,0.45,0.44,0.16,0.71,0.46,0.55,0.58,0.56,0.29,0.58,0.59,0.53,0.6
etics.csv,0.01,0.05,0.0,0.11,0.07,0.1,0.03,0.05,0.22,0.13,0.13,0.04,0.18,0.0,0.37,0.0,0.06,0.16,0.13,0.06
fmri-dmt.csv,0.02,0.0,0.0,0.0,0.04,0.0,0.04,0.03,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.0
genecys.csv,0.87,1.0,0.9,0.77,0.96,0.97,0.63,0.96,0.0,0.81,0.64,0.71,0.98,1.0,0.82,1.0,0.79,0.82,0.84,0.88
genoviz.csv,0.18,0.05,0.1,0.09,0.05,0.12,0.04,0.07,0.22,0.06,0.16,0.0,0.15,0.0,0.1,0.07,0.03,0.0,0.0,0.14
kftpgrabber.csv,0.23,0.29,0.1,0.07,0.26,0.38,0.29,0.13,0.33,0.19,0.22,0.08,0.0,0.24,0.24,0.29,0.15,0.14,0.31,0.5
kvs.csv,0.51,0.51,0.21,0.46,0.16,0.96,0.01,0.17,0.33,0.12,0.33,0.12,0.26,0.32,0.4,0.14,0.16,0.05,0.13,0.37
mcore3d.csv,0.56,0.49,0.38,0.61,0.0,0.52,0.67,0.41,0.44,0.57,0.58,0.71,0.52,0.53,0.76,0.5,0.42,0.36,0.87,0.58
miranda.csv,0.32,0.44,0.6,0.34,0.39,0.32,0.57,0.45,0.33,0.62,0.44,0.62,0.39,0.53,0.44,0.29,0.48,0.48,0.69,0.01
modplug.csv,0.69,0.68,1.0,0.76,0.44,0.68,0.2,0.7,0.67,0.79,0.07,0.04,0.82,0.61,0.89,0.36,0.16,0.55,0.8,0.81
monetdb.csv,0.42,0.54,0.05,0.16,0.35,0.23,0.14,0.18,0.22,0.0,0.24,0.21,0.32,0.13,0.27,0.14,0.14,0.27,0.36,0.4
netatalk.csv,0.25,0.2,0.12,0.13,0.25,0.35,0.17,0.21,0.56,0.35,0.18,0.33,0.21,0.0,0.44,0.07,0.19,0.11,0.58,0.36
ogrehg.csv,0.51,0.59,0.05,0.6,0.28,0.69,0.46,0.03,0.44,0.63,0.78,0.75,0.29,0.37,0.15,0.64,0.68,0.61,0.71,0.52
passwordsafe.csv,0.53,0.56,0.21,0.35,0.39,0.56,0.26,0.38,0.44,0.24,0.4,0.29,0.31,0.29,0.6,0.21,0.02,0.3,0.38,0.55
projecteqemu.csv,0.19,0.17,0.1,0.12,0.19,0.13,0.03,0.14,0.22,0.24,0.02,0.0,0.16,0.08,0.29,0.14,0.11,0.07,0.4,0.25
reactos-mirror.csv,0.04,0.59,0.81,0.65,0.67,0.71,0.5,0.59,0.67,0.32,0.69,0.38,0.66,1.0,0.69,0.57,0.47,0.5,0.69,0.75
xbplayer.csv,0.22,0.24,0.26,0.13,0.12,0.0,0.25,0.09,0.0,0.14,0.16,0.12,0.23,0.16,0.13,0.14,0.11,0.14,0.4,0.25
xmoto.csv,0.63,0.51,0.4,0.46,0.26,0.4,0.34,0.35,0.22,0.4,0.53,0.33,0.47,0.61,0.61,0.29,0.35,0.0,0.6,0.5
