,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.89,0.5,0.9,0.42,0.83,0.48,0.44,0.44,0.54,0.96,0.45,0.0,0.8,0.42
avifile.csv,0.93,0.61,0.95,0.97,0.53,0.91,0.76,0.71,0.97,0.94,0.5,0.96,0.67,0.94
delphilhlplib.csv,0.58,0.82,0.72,0.55,0.4,0.4,0.55,0.73,0.47,0.5,0.86,0.0,0.8,0.62
fluidium.csv,0.0,0.94,0.67,0.9,0.93,0.61,0.57,0.0,0.67,0.0,0.5,0.86,0.62,0.75
gnome-jabber.csv,0.58,0.37,0.39,0.59,0.61,0.47,0.56,0.55,0.43,0.6,0.51,0.46,0.35,0.38
ipfilter.csv,0.5,0.45,0.3,0.59,0.38,0.86,0.6,0.48,0.56,0.64,0.46,0.53,0.45,0.6
jparsec.csv,0.44,0.4,0.3,0.54,0.38,0.34,0.48,0.39,0.41,0.5,0.43,0.52,0.37,0.42
loki-lib.csv,0.52,0.39,0.39,0.53,0.42,0.95,0.71,0.71,0.43,0.53,0.46,0.51,0.59,0.46
mumble.csv,0.0,0.4,0.34,0.54,0.4,0.6,0.0,0.56,0.47,0.52,0.62,0.52,0.33,0.0
opengs.csv,0.64,0.4,0.62,0.62,0.58,0.59,0.38,0.5,0.44,0.49,0.73,0.66,0.42,0.53
owfs.csv,0.41,0.41,0.29,0.87,0.38,0.36,0.41,0.42,0.39,0.38,0.43,0.3,0.34,0.42
rectracker.csv,0.38,0.41,0.42,0.58,0.38,0.35,0.46,0.45,0.39,0.39,0.48,0.52,0.36,0.45
rockbox.csv,0.42,0.53,0.3,0.86,0.64,0.57,0.47,0.39,0.41,0.49,0.43,0.35,0.34,0.33
zealos.csv,0.0,0.5,0.55,0.57,0.0,0.0,0.0,0.0,0.86,0.95,0.89,0.5,0.0,0.0
