,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.87,0.76,0.64,0.5,0.38,0.34,0.47,0.7,0.56,0.62,0.63,0.37,0.74,0.6,0.72,0.66,1.0,0.68
cornerstone.csv,0.52,0.3,0.42,0.46,0.22,0.28,0.0,0.27,0.03,0.03,0.69,0.56,0.3,0.44,0.12,0.48,0.5,0.09
emeraldemu.csv,0.87,0.51,0.76,1.0,0.14,0.18,0.4,0.69,0.33,0.56,0.65,0.11,0.21,0.0,0.5,0.49,0.5,0.66
grafx2.csv,0.88,0.82,0.7,0.88,0.34,0.33,0.53,0.66,0.43,0.69,0.67,0.81,0.56,0.72,0.84,0.75,0.5,0.54
jahshakafx.csv,0.82,0.7,0.94,0.67,0.32,0.24,0.47,0.81,0.52,0.5,0.65,0.26,0.59,0.7,0.7,0.67,1.0,0.75
maya-work-in-progress.csv,0.98,0.89,0.88,0.58,0.94,0.67,0.87,0.86,0.88,0.81,0.98,0.96,0.9,0.93,0.83,0.95,0.75,0.8
novembre.csv,0.71,0.73,0.48,0.29,0.18,0.3,0.6,0.58,0.58,0.38,0.53,0.89,0.18,0.53,0.55,0.61,0.75,0.41
ns-3.csv,0.54,0.53,0.15,0.42,0.34,0.72,0.87,0.33,0.38,0.38,0.51,1.0,0.8,0.86,0.61,0.91,0.75,0.61
nullc.csv,0.74,1.0,1.0,1.0,0.68,0.6,0.8,0.73,0.65,0.38,0.78,0.37,0.7,0.79,0.74,0.9,1.0,0.73
open-beos.csv,0.94,0.87,0.73,0.79,0.48,0.49,0.8,0.81,0.62,0.44,0.31,1.0,0.76,0.98,0.74,0.83,0.75,0.66
pixel-commandos.csv,0.04,0.54,0.21,0.42,0.16,0.14,0.4,0.2,0.13,0.06,0.06,0.04,0.14,0.35,0.41,0.34,1.0,0.2
planeshift.csv,0.99,0.99,0.94,1.0,0.8,0.69,0.73,0.86,0.88,0.78,0.73,0.93,0.71,0.72,0.84,0.92,0.75,0.91
plee-the-bear.csv,0.76,0.4,0.79,0.04,0.44,0.64,0.6,0.59,0.73,0.69,0.57,0.67,0.61,0.65,0.57,0.51,1.0,0.71
reaper-ecad.csv,0.5,0.18,0.24,0.67,0.24,0.03,0.0,0.34,0.14,0.03,0.24,0.0,0.23,0.0,0.25,0.4,0.25,0.12
sbml.csv,0.81,0.78,0.82,0.96,0.4,0.58,0.87,0.91,0.68,0.78,0.9,0.96,0.82,0.58,0.7,0.68,1.0,0.27
unimrcp.csv,0.89,0.75,0.67,0.96,0.4,0.44,0.87,0.69,0.51,0.75,0.86,0.7,0.59,0.47,0.61,0.76,0.5,0.91
unladen-swallow.csv,0.22,0.42,0.45,0.04,0.16,0.31,0.47,0.41,0.42,0.44,0.22,0.63,0.37,0.42,0.2,0.49,0.5,0.2
zxing.csv,0.62,0.52,0.76,0.54,0.34,0.24,0.33,0.5,0.32,0.19,0.47,0.0,0.54,0.14,0.47,0.68,0.75,0.75
