,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.33,0.4,0.46,0.49,0.43,0.54,0.5,0.43,0.38,0.41,0.34,0.7,0.32,0.32,0.31,0.38,0.46,0.34
cornerstone.csv,0.47,0.87,0.98,0.77,0.58,0.61,0.88,0.87,0.83,0.0,0.42,0.47,0.65,0.52,0.89,0.52,0.89,0.8
emeraldemu.csv,0.48,0.55,0.48,0.51,0.75,0.88,0.67,0.54,0.79,0.55,0.41,0.83,0.88,0.0,0.48,0.5,0.8,0.52
grafx2.csv,0.39,0.46,0.5,0.65,0.53,0.61,0.5,0.55,0.56,0.52,0.36,0.42,0.46,0.35,0.36,0.41,0.75,0.44
jahshakafx.csv,0.35,0.42,0.4,0.39,0.41,0.66,0.53,0.41,0.43,0.48,0.36,0.89,0.35,0.29,0.33,0.37,0.43,0.35
maya-work-in-progress.csv,0.47,0.42,0.39,0.44,0.45,0.42,0.3,0.34,0.39,0.46,0.33,0.35,0.32,0.49,0.35,0.34,0.43,0.3
novembre.csv,0.45,0.44,0.72,0.73,0.78,0.66,0.52,0.51,0.44,0.6,0.43,0.42,0.97,0.39,0.46,0.45,0.63,0.56
ns-3.csv,0.49,0.54,0.83,0.71,0.53,0.45,0.34,0.57,0.69,0.68,0.47,0.41,0.36,0.59,0.52,0.37,0.47,0.35
nullc.csv,0.44,0.48,0.4,0.53,0.5,0.52,0.43,0.47,0.51,0.67,0.41,0.66,0.42,0.43,0.46,0.4,0.55,0.52
open-beos.csv,0.36,0.4,0.51,0.55,0.42,0.46,0.36,0.37,0.5,0.63,0.59,0.4,0.36,0.52,0.36,0.36,0.45,0.33
pixel-commandos.csv,0.86,0.65,0.99,0.72,0.88,0.96,0.89,0.98,0.96,0.5,0.89,0.75,0.95,0.63,0.62,0.7,0.9,0.93
planeshift.csv,0.49,0.47,0.43,0.54,0.53,0.46,0.42,0.39,0.4,0.49,0.44,0.39,0.38,0.34,0.42,0.37,0.51,0.35
plee-the-bear.csv,0.38,0.59,0.52,0.91,0.5,0.44,0.37,0.4,0.39,0.47,0.38,0.43,0.41,0.57,0.44,0.44,0.41,0.36
reaper-ecad.csv,0.58,1.0,0.98,0.61,0.5,0.83,0.0,0.93,0.96,0.0,0.94,0.0,0.86,0.0,0.89,0.63,0.0,0.86
sbml.csv,0.37,0.39,0.43,0.47,0.45,0.41,0.33,0.35,0.4,0.53,0.34,0.36,0.32,0.39,0.36,0.36,0.38,0.68
unimrcp.csv,0.46,0.49,0.49,0.59,0.43,0.46,0.33,0.49,0.52,0.49,0.35,0.43,0.4,0.45,0.45,0.39,0.57,0.38
unladen-swallow.csv,0.9,0.59,0.66,0.88,0.78,0.55,0.37,0.52,0.5,0.58,0.82,0.41,0.52,0.43,0.85,0.47,0.5,0.79
zxing.csv,0.42,0.52,0.45,0.44,0.44,0.6,0.57,0.6,0.75,0.86,0.48,0.0,0.4,0.83,0.49,0.4,0.48,0.4
