,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.62,0.72,0.97,0.5,0.8,0.97,0.83,0.59,0.78,0.55,0.77,0.54,0.6,0.61
boost-sandbox.csv,0.46,0.5,0.0,0.0,0.0,0.46,0.61,0.44,0.47,0.65,0.49,0.63,0.51,0.55
customwars.csv,0.95,0.95,0.67,0.4,0.92,0.88,0.75,0.93,0.91,0.93,0.87,0.96,0.88,0.95
dvd-create.csv,0.44,0.4,0.85,0.35,0.4,0.4,0.47,0.34,0.3,0.38,0.4,0.51,0.41,0.48
frogatto.csv,0.42,0.49,0.6,0.35,0.44,0.39,0.53,0.38,0.39,0.47,0.37,0.51,0.5,0.46
glelite.csv,0.39,0.4,0.55,0.34,0.39,0.39,0.38,0.33,0.29,0.42,0.33,0.4,0.4,0.49
go.csv,0.47,0.47,0.76,0.57,0.42,0.45,0.75,0.34,0.35,0.39,0.4,0.59,0.59,0.57
irplus.csv,0.55,0.85,0.75,0.93,0.81,0.88,0.83,0.93,0.82,0.65,0.62,0.95,0.82,0.69
lsb.csv,0.53,0.42,0.59,0.32,0.44,0.49,0.0,0.35,0.4,0.51,0.39,0.56,0.46,0.49
moving-pictures.csv,0.44,0.6,0.88,0.71,0.89,0.65,0.38,0.47,0.54,0.43,0.52,0.66,0.55,0.56
mpgravity.csv,0.61,0.69,0.7,0.36,0.68,0.58,0.75,0.81,0.54,0.92,0.55,0.64,0.75,0.62
plearn.csv,0.7,0.66,0.71,0.47,0.75,0.67,0.62,0.76,0.76,0.75,0.75,0.77,0.63,0.68
rebecca-aiml.csv,0.79,0.42,0.67,0.37,0.45,0.67,0.5,0.82,0.59,0.5,0.57,0.67,0.6,0.83
wxcode.csv,0.92,0.0,0.0,0.88,0.0,0.8,0.0,0.0,0.0,0.5,0.0,0.0,0.86,0.0
