,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.42,0.41,0.33,0.96,0.31,0.25,0.0,0.47,0.32,0.58,0.4,0.56,0.57,0.59
boost-sandbox.csv,0.76,0.03,0.0,0.02,0.0,1.0,0.42,0.65,0.54,0.36,0.56,0.52,0.71,0.57
customwars.csv,0.1,0.18,0.49,0.52,0.16,0.05,0.33,0.88,0.18,0.25,0.16,0.3,0.0,0.13
dvd-create.csv,0.75,0.85,0.49,0.81,0.99,0.65,0.67,0.76,0.75,0.83,0.72,0.61,0.57,0.69
frogatto.csv,0.85,0.57,0.58,0.69,0.57,0.61,0.5,0.71,0.57,1.0,0.72,0.57,0.86,0.61
glelite.csv,1.0,0.99,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
go.csv,0.81,0.97,0.29,0.5,0.69,0.65,0.08,0.76,0.68,0.75,0.68,0.35,0.29,0.6
irplus.csv,0.49,0.23,0.07,0.13,0.22,0.06,0.25,0.12,0.21,0.36,0.96,0.2,0.43,0.19
lsb.csv,0.64,0.59,0.98,0.67,0.47,0.51,0.0,0.94,0.61,0.61,0.72,0.74,0.71,0.42
moving-pictures.csv,0.66,0.32,0.16,0.17,0.23,0.35,1.0,0.76,0.93,0.72,0.64,0.35,0.86,0.54
mpgravity.csv,0.54,0.3,0.49,0.67,0.31,0.48,1.0,0.29,0.46,0.14,0.52,0.65,1.0,0.31
plearn.csv,0.95,0.35,0.58,0.67,0.34,0.48,0.33,0.29,0.21,0.33,0.28,0.48,0.86,0.38
rebecca-aiml.csv,0.27,0.73,0.49,0.8,0.57,0.36,0.08,0.35,0.39,0.53,0.28,0.94,0.71,0.15
wxcode.csv,0.15,0.0,0.02,0.06,0.0,0.02,0.0,0.0,0.0,0.06,0.0,0.02,1.0,0.0
