,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.44,0.21,0.32,0.44,0.31,0.98,1.0,0.42,0.53,0.11,1.0
avisynth2.csv,0.06,0.02,0.0,0.05,0.03,0.03,0.05,0.01,0.06,0.0,0.0
coot.csv,0.0,0.38,0.71,0.9,0.78,0.05,0.61,0.28,0.74,0.3,0.65
dsworkbench.csv,0.31,0.02,0.0,0.07,0.12,0.29,0.0,0.26,0.11,0.14,0.23
freelords.csv,0.69,0.75,0.39,0.37,0.69,0.87,0.9,0.53,0.85,0.78,0.81
gephex.csv,1.0,0.85,0.54,0.68,0.47,0.52,0.32,0.82,0.5,0.89,1.0
jas.csv,0.31,0.54,0.54,0.29,0.31,0.19,0.41,0.43,0.14,0.46,0.47
jpaul.csv,0.88,0.0,0.14,0.24,0.31,0.24,0.0,0.15,0.41,0.05,0.09
ngl.csv,0.94,0.9,0.68,0.83,0.66,0.35,0.9,0.32,0.73,0.49,0.74
scenemonitor.csv,0.62,0.31,0.14,0.15,0.16,0.03,0.39,0.55,0.28,0.38,0.21
synecdoche.csv,0.62,0.17,0.64,0.34,0.66,0.13,0.34,0.35,0.4,0.24,0.23
