,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.68,0.81,0.48,0.75,0.86,0.41,0.35,0.96,0.42,0.8,0.37
avisynth2.csv,0.91,0.0,0.5,0.75,0.67,0.8,0.5,0.5,0.86,0.0,0.0
coot.csv,0.0,0.55,0.62,0.49,0.38,0.67,0.41,0.52,0.58,0.4,0.38
dsworkbench.csv,0.47,0.88,0.88,0.8,0.88,0.78,0.92,0.98,0.93,0.88,0.92
freelords.csv,0.39,0.47,0.49,0.36,0.33,0.42,0.37,0.47,0.41,0.41,0.36
gephex.csv,0.36,0.53,0.41,0.45,0.5,0.53,0.51,0.54,0.46,0.45,0.39
jas.csv,0.92,0.5,0.6,0.94,0.86,0.71,0.57,0.46,0.79,0.69,0.52
jpaul.csv,0.4,0.5,0.94,0.48,0.56,0.94,0.0,0.98,0.61,0.67,0.8
ngl.csv,0.37,0.48,0.45,0.4,0.34,0.5,0.38,0.45,0.43,0.45,0.4
scenemonitor.csv,0.4,0.56,0.57,0.56,0.5,0.5,0.53,0.45,0.6,0.87,0.91
synecdoche.csv,0.42,0.78,0.36,0.45,0.42,0.88,0.51,0.87,0.58,0.43,0.55
