,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.58,0.01,0.94,0.77,0.61,0.54,0.5,0.61,0.48,0.62
jmule.csv,0.69,0.76,0.89,0.74,0.51,0.7,0.66,0.6,0.57,0.04
nosleepsoftware.csv,0.71,0.65,0.0,1.0,0.92,0.95,0.66,0.83,0.73,0.68
open-ms.csv,0.78,0.71,0.58,1.0,0.81,0.89,0.65,0.11,0.82,0.75
qgo.csv,0.0,0.69,0.75,0.9,0.81,0.92,0.48,0.71,0.74,0.68
rezilla.csv,0.95,0.83,0.87,0.0,0.73,0.96,0.81,0.81,0.93,0.95
riff-evolve.csv,0.63,0.56,0.77,0.88,0.43,0.03,0.86,0.7,0.55,0.59
uwom.csv,0.48,0.86,1.05,0.56,0.72,0.85,0.88,0.56,0.05,0.79
virtuoso.csv,0.94,0.74,0.64,0.63,0.61,0.85,0.14,0.73,0.41,0.69
yield.csv,0.6,0.68,0.71,0.67,0.03,0.64,0.67,0.77,0.68,0.9
