,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.29,0.0,0.34,0.35,0.38,0.26,0.41,0.42,0.28,0.41
jmule.csv,0.4,0.3,0.36,0.08,0.35,0.34,0.51,0.46,0.45,0.0
nosleepsoftware.csv,0.09,0.18,0.0,0.02,0.16,0.03,0.28,0.17,0.11,0.41
open-ms.csv,0.69,0.64,0.45,0.02,0.41,0.05,0.54,0.0,0.39,0.52
qgo.csv,0.0,0.16,0.0,0.08,0.03,0.08,0.34,0.18,0.1,0.28
rezilla.csv,0.94,0.8,0.87,0.0,0.71,0.96,0.79,0.8,0.92,0.93
riff-evolve.csv,0.57,0.35,0.34,0.78,0.29,0.01,0.84,0.57,0.45,0.38
uwom.csv,0.31,0.06,0.32,0.38,0.12,0.43,0.88,0.3,0.0,0.07
virtuoso.csv,0.94,0.13,0.47,0.25,0.37,0.83,0.0,0.69,0.38,0.66
yield.csv,0.6,0.65,0.64,0.22,0.0,0.54,0.64,0.76,0.66,0.9
