,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.53,0.99,0.14,0.36,0.54,0.56,0.68,0.56,0.62,0.55
jmule.csv,0.46,0.35,0.22,0.3,0.63,0.43,0.55,0.6,0.62,0.97
nosleepsoftware.csv,0.35,0.43,1.0,0.0,0.12,0.06,0.44,0.22,0.31,0.48
open-ms.csv,0.52,0.58,0.6,0.0,0.33,0.13,0.59,0.91,0.31,0.46
qgo.csv,1.0,0.38,0.29,0.13,0.23,0.11,0.67,0.35,0.31,0.42
rezilla.csv,0.24,0.5,0.42,1.0,0.6,0.17,0.52,0.53,0.29,0.26
riff-evolve.csv,0.64,0.58,0.35,0.44,0.69,0.97,0.45,0.54,0.66,0.55
uwom.csv,0.64,0.17,0.0,0.59,0.33,0.29,0.39,0.56,0.96,0.25
virtuoso.csv,0.24,0.31,0.55,0.46,0.53,0.46,0.88,0.59,0.79,0.62
yield.csv,0.75,0.62,0.58,0.41,0.98,0.61,0.65,0.57,0.64,0.35
