,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.5,0.99,0.12,0.32,0.52,0.53,0.71,0.56,0.6,0.54
jmule.csv,0.43,0.31,0.19,0.26,0.63,0.4,0.57,0.62,0.64,0.96
nosleepsoftware.csv,0.3,0.38,1.0,0.0,0.1,0.05,0.4,0.19,0.27,0.46
open-ms.csv,0.63,0.69,0.62,0.0,0.3,0.11,0.64,0.89,0.28,0.46
qgo.csv,1.0,0.33,0.25,0.11,0.19,0.09,0.67,0.31,0.27,0.38
rezilla.csv,0.9,0.81,0.94,1.0,0.83,0.97,0.83,0.9,0.87,0.83
riff-evolve.csv,0.73,0.56,0.31,0.58,0.68,0.97,0.83,0.58,0.69,0.54
uwom.csv,0.63,0.14,0.0,0.58,0.29,0.26,0.9,0.53,0.95,0.21
virtuoso.csv,1.0,0.27,0.56,0.42,0.51,0.81,0.86,0.76,0.85,0.79
yield.csv,0.97,0.77,0.69,0.37,0.97,0.66,0.81,0.87,0.82,0.92
