,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.99,0.64,0.21,0.33,0.83,0.8,0.38,0.22,0.0,0.0,0.14,0.63,0.73,0.45,0.76,0.49
bullet.csv,0.74,0.73,0.2,0.47,0.84,1.0,0.37,0.33,0.0,0.22,0.19,0.55,0.81,0.46,0.59,0.46
customwars.csv,0.86,0.88,0.4,0.56,0.82,0.5,0.8,0.21,0.04,0.0,1.0,0.55,0.75,0.86,1.0,0.78
dvd-create.csv,0.69,0.66,0.27,0.2,1.0,0.81,0.36,0.24,0.0,0.3,0.16,0.65,0.76,0.48,0.57,0.43
gbif-indexingtoolkit.csv,0.82,0.7,0.1,0.86,0.94,0.92,0.46,1.0,0.01,0.0,0.16,0.7,0.82,1.0,0.61,0.39
go.csv,0.75,0.98,0.24,0.34,0.84,0.79,0.39,0.16,0.0,0.24,0.17,0.62,0.65,0.45,0.76,0.45
growl-for-windows.csv,0.75,0.77,0.26,0.23,0.8,0.81,0.37,0.24,0.0,0.0,0.16,0.58,0.55,0.57,1.0,0.48
gss.csv,0.71,0.62,0.25,0.26,0.81,0.76,0.36,0.19,0.0,0.13,0.15,0.61,1.0,0.48,0.56,0.42
kwave.csv,0.79,0.8,1.0,0.56,1.0,1.0,0.56,0.38,0.0,0.17,0.19,0.88,0.57,0.5,0.83,0.75
libarchive.csv,0.83,0.8,0.21,0.69,0.96,0.91,0.56,0.21,0.01,0.0,0.16,0.6,0.87,0.42,0.77,1.0
linux-ntfs.csv,0.79,0.67,0.29,0.65,0.94,0.78,0.46,0.29,0.01,0.0,0.24,0.62,0.79,1.0,0.76,0.72
lsb.csv,0.78,0.65,0.22,0.98,0.92,0.79,0.37,0.19,0.01,0.0,0.16,0.6,0.7,0.54,0.64,0.58
mpgravity.csv,0.83,0.64,0.12,0.22,0.77,0.73,0.27,0.21,0.0,1.0,0.17,0.6,0.53,0.33,0.82,0.43
qcad2.csv,0.78,0.66,0.45,0.11,0.81,0.86,1.0,0.19,0.01,0.25,0.14,0.61,0.62,0.5,0.75,0.45
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
xinity.csv,0.82,0.5,0.16,0.0,1.0,0.72,0.39,0.04,0.0,0.0,0.12,1.0,0.55,0.67,0.67,0.5
