,g-score
inkscape.csv,0.42
wxcrp.csv,0.63
m-m-m.csv,0.24
bacula.csv,0.63
extprosys.csv,0.36
lsb.csv,0.21
fritzing.csv,0.63
robocode.csv,0.26
capcode.csv,0.64
openefm.csv,0.49
etics.csv,0.65
novembre.csv,0.57
lmms.csv,0.45
codeblocks.csv,0.29
ontomorphtab.csv,0.24
x-ray-mule.csv,0.23
openintents.csv,0.48
atomsite.csv,0.17
bloodycore.csv,0.38
checker-framework.csv,0.66
arianne.csv,0.31
dsworkbench.csv,0.39
gogoego.csv,0.46
electric-core.csv,0.56
atlc.csv,0.28
rosegarden.csv,0.64
linuxsh.csv,0.48
theresa.csv,0.85
jcae.csv,0.84
dxengine.csv,0.48
uwom-server.csv,0.42
ivatamasks.csv,0.6
playerstage.csv,0.65
taverna.csv,0.13
rtb-team.csv,0.16
projectts.csv,0.28
autofac.csv,0.45
nsis.csv,0.22
knowledge.csv,0.68
esmf.csv,0.41
abbot.csv,0.59
konversation.csv,0.69
arsenal-1.csv,0.68
utgb.csv,0.17
taokgame.csv,0.65
openmeetings.csv,0.68
nosleepsoftware.csv,0.41
jsidplay2.csv,0.36
chipster.csv,0.21
badtrinitycore.csv,0.48
redshell.csv,0.45
zengine.csv,0.48
javagroups.csv,0.53
hazelcast.csv,0.16
xuggle.csv,0.65
moviesandbox.csv,0.4
jrefactory.csv,0.53
alembik.csv,0.27
mule.csv,0.34
aubit4gl.csv,0.51
sepgsql.csv,0.67
sblim.csv,0.42
pentahoanalysistool.csv,0.6
rezilla.csv,0.19
pcgen.csv,0.65
dvd-create.csv,0.18
freenet.csv,0.48
ivef-sdk.csv,0.53
adonthell.csv,0.26
algebsql.csv,0.11
