,precision
inkscape.csv,0.55
wxcrp.csv,0.49
m-m-m.csv,1.0
bacula.csv,0.71
extprosys.csv,0.28
lsb.csv,0.62
fritzing.csv,0.67
robocode.csv,0.62
capcode.csv,0.21
openefm.csv,0.48
etics.csv,0.5
novembre.csv,0.47
lmms.csv,0.83
codeblocks.csv,0.88
ontomorphtab.csv,0.88
x-ray-mule.csv,0.38
openintents.csv,0.36
atomsite.csv,0.43
bloodycore.csv,0.22
checker-framework.csv,0.5
arianne.csv,0.74
dsworkbench.csv,0.94
gogoego.csv,0.32
electric-core.csv,0.52
atlc.csv,1.0
rosegarden.csv,0.59
linuxsh.csv,0.23
theresa.csv,0.12
jcae.csv,0.19
dxengine.csv,0.48
uwom-server.csv,0.29
ivatamasks.csv,0.73
playerstage.csv,0.62
taverna.csv,0.23
rtb-team.csv,0.2
projectts.csv,0.69
autofac.csv,0.57
nsis.csv,0.89
knowledge.csv,0.98
esmf.csv,0.5
abbot.csv,0.79
konversation.csv,0.31
arsenal-1.csv,0.55
utgb.csv,0.45
taokgame.csv,0.13
openmeetings.csv,0.58
nosleepsoftware.csv,0.22
jsidplay2.csv,0.9
chipster.csv,0.43
badtrinitycore.csv,0.25
redshell.csv,0.96
zengine.csv,0.75
javagroups.csv,0.51
hazelcast.csv,1.0
xuggle.csv,0.25
moviesandbox.csv,0.67
jrefactory.csv,0.65
alembik.csv,0.83
mule.csv,0.73
aubit4gl.csv,0.56
sepgsql.csv,0.06
sblim.csv,0.17
pentahoanalysistool.csv,0.44
rezilla.csv,0.6
pcgen.csv,0.67
dvd-create.csv,0.92
freenet.csv,0.83
ivef-sdk.csv,0.91
adonthell.csv,0.65
algebsql.csv,0.43
