,d2h
inkscape.csv,0.75
wxcrp.csv,0.47
m-m-m.csv,0.8
bacula.csv,0.69
extprosys.csv,0.75
lsb.csv,0.82
fritzing.csv,0.48
robocode.csv,0.79
capcode.csv,0.55
openefm.csv,0.6
etics.csv,0.43
novembre.csv,0.52
lmms.csv,0.62
codeblocks.csv,0.76
ontomorphtab.csv,0.8
x-ray-mule.csv,0.94
openintents.csv,0.8
atomsite.csv,0.87
bloodycore.csv,0.69
checker-framework.csv,0.41
arianne.csv,0.73
dsworkbench.csv,0.66
gogoego.csv,0.65
electric-core.csv,0.51
atlc.csv,0.76
rosegarden.csv,0.42
linuxsh.csv,0.63
theresa.csv,0.46
jcae.csv,0.48
dxengine.csv,0.61
uwom-server.csv,0.69
ivatamasks.csv,0.6
playerstage.csv,0.46
taverna.csv,0.91
rtb-team.csv,0.89
projectts.csv,0.77
autofac.csv,0.65
nsis.csv,0.86
knowledge.csv,0.39
esmf.csv,0.64
abbot.csv,0.56
konversation.csv,0.39
arsenal-1.csv,0.61
utgb.csv,0.88
taokgame.csv,0.66
openmeetings.csv,0.37
nosleepsoftware.csv,0.77
jsidplay2.csv,0.7
chipster.csv,0.83
badtrinitycore.csv,0.6
redshell.csv,0.69
zengine.csv,0.73
javagroups.csv,0.57
hazelcast.csv,0.87
xuggle.csv,0.44
moviesandbox.csv,0.68
jrefactory.csv,0.61
alembik.csv,0.77
mule.csv,0.72
aubit4gl.csv,0.66
sepgsql.csv,0.65
sblim.csv,0.8
pentahoanalysistool.csv,0.53
rezilla.csv,0.84
pcgen.csv,0.44
dvd-create.csv,0.85
freenet.csv,0.59
ivef-sdk.csv,0.53
adonthell.csv,0.8
algebsql.csv,0.92
