,pf
inkscape.csv,0.44
wxcrp.csv,0.27
m-m-m.csv,0.0
bacula.csv,0.65
extprosys.csv,0.33
lsb.csv,0.04
fritzing.csv,0.29
robocode.csv,0.11
capcode.csv,0.44
openefm.csv,0.24
etics.csv,0.19
novembre.csv,0.22
lmms.csv,0.15
codeblocks.csv,0.1
ontomorphtab.csv,0.05
x-ray-mule.csv,0.5
openintents.csv,0.64
atomsite.csv,0.09
bloodycore.csv,0.22
checker-framework.csv,0.14
arianne.csv,0.1
dsworkbench.csv,0.06
gogoego.csv,0.29
electric-core.csv,0.13
atlc.csv,0.0
rosegarden.csv,0.17
linuxsh.csv,0.31
theresa.csv,0.46
jcae.csv,0.48
dxengine.csv,0.25
uwom-server.csv,0.3
ivatamasks.csv,0.47
playerstage.csv,0.28
taverna.csv,0.19
rtb-team.csv,0.22
projectts.csv,0.15
autofac.csv,0.27
nsis.csv,0.29
knowledge.csv,0.2
esmf.csv,0.09
abbot.csv,0.39
konversation.csv,0.2
arsenal-1.csv,0.58
utgb.csv,0.19
taokgame.csv,0.63
openmeetings.csv,0.07
nosleepsoftware.csv,0.45
jsidplay2.csv,0.1
chipster.csv,0.17
badtrinitycore.csv,0.17
redshell.csv,0.38
zengine.csv,0.5
javagroups.csv,0.25
hazelcast.csv,0.0
xuggle.csv,0.24
moviesandbox.csv,0.23
jrefactory.csv,0.37
alembik.csv,0.03
mule.csv,0.17
aubit4gl.csv,0.44
sepgsql.csv,0.63
sblim.csv,0.54
pentahoanalysistool.csv,0.34
rezilla.csv,0.05
pcgen.csv,0.21
dvd-create.csv,0.06
freenet.csv,0.17
ivef-sdk.csv,0.1
adonthell.csv,0.15
algebsql.csv,0.11
