,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv
apertium.csv,0.5,0.42,0.31,0.66,0.4,0.49,0.07,0.64,0.69,0.45,0.23,0.64,0.4,0.35,0.19,0.53,0.43
beast-mcmc.csv,0.6,0.58,0.4,0.67,0.61,0.58,0.46,0.63,0.43,0.72,0.69,0.73,0.69,0.44,0.47,0.52,0.77
bigdata.csv,0.42,0.42,0.27,0.57,0.54,0.32,0.56,0.31,0.07,0.47,0.64,0.33,0.82,0.39,0.2,0.41,0.4
codesmith.csv,0.25,0.36,0.3,0.62,0.44,0.51,0.47,0.6,0.0,0.65,0.67,0.59,0.37,0.57,0.31,0.35,0.86
cuberok.csv,0.5,0.38,0.27,0.53,0.58,0.53,0.62,0.62,0.42,0.71,0.47,0.69,0.79,0.58,0.45,0.37,0.3
exist.csv,0.44,0.7,0.34,0.74,0.66,0.66,0.57,0.64,0.44,0.77,0.67,0.67,0.63,0.71,0.45,0.48,0.78
icescrum.csv,0.59,0.52,0.31,0.71,0.4,0.62,0.48,0.7,0.51,0.51,0.6,0.57,0.6,0.34,0.32,0.83,0.32
jbasic.csv,0.43,0.6,0.35,0.79,0.64,0.68,0.6,0.75,0.48,0.73,0.3,0.89,0.63,0.35,0.45,0.57,0.65
jrefactory.csv,0.33,0.67,0.27,0.46,0.3,0.4,0.46,0.42,0.33,0.23,0.59,0.32,0.41,0.7,0.31,0.42,0.74
jsecurity.csv,0.35,0.39,0.49,0.35,0.61,0.47,0.41,0.14,0.24,0.59,0.31,0.44,0.33,0.34,0.19,0.25,0.6
libopenmetaverse.csv,0.48,0.74,0.35,0.71,0.61,0.67,0.51,0.64,0.47,0.31,0.69,0.37,0.9,0.47,0.27,0.6,0.4
mobicents.csv,0.5,0.53,0.41,0.65,0.65,0.67,0.54,0.71,0.49,0.72,0.58,0.73,0.8,0.53,0.42,0.51,0.32
opendvr.csv,0.55,0.47,0.45,0.7,0.65,0.64,0.62,0.63,0.43,0.73,0.55,0.87,0.86,0.29,0.56,0.6,0.37
power-architect.csv,0.38,0.62,0.45,0.68,0.64,0.62,0.56,0.44,0.46,0.72,0.71,0.83,0.8,0.72,0.45,0.55,0.79
sidekar.csv,0.0,0.0,0.0,0.81,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0
wheat.csv,0.36,0.19,0.29,0.28,0.56,0.48,0.48,0.09,0.44,0.72,0.72,0.67,0.54,0.18,0.43,0.59,0.76
wsmt.csv,0.19,0.13,0.1,0.03,0.1,0.29,0.0,0.25,0.12,0.21,0.13,0.19,0.38,0.81,0.0,0.0,0.29
