,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv
apertium.csv,0.39,0.59,0.38,0.75,0.5,0.59,0.2,0.65,0.61,0.69,0.57,0.81,0.88,0.35,0.33,0.41,0.67
beast-mcmc.csv,0.51,0.53,0.26,0.66,0.57,0.58,0.36,0.61,0.29,0.58,0.61,0.89,0.94,0.5,0.31,0.38,0.75
bigdata.csv,0.53,0.62,0.21,0.73,0.56,0.54,0.39,0.54,0.25,0.59,0.52,0.92,0.94,0.62,0.21,0.4,0.72
codesmith.csv,0.26,0.47,0.29,0.64,0.5,0.47,0.41,0.48,0.0,0.72,0.58,0.71,0.93,0.59,0.22,0.4,0.86
cuberok.csv,0.44,0.54,0.18,0.67,0.48,0.52,0.53,0.63,0.33,0.57,0.48,0.8,0.9,0.61,0.29,0.37,0.48
exist.csv,0.28,0.57,0.21,0.74,0.5,0.51,0.4,0.48,0.3,0.8,0.55,0.78,0.9,0.55,0.29,0.36,0.65
icescrum.csv,0.47,0.61,0.24,0.83,0.58,0.59,0.46,0.65,0.4,0.78,0.74,0.88,0.92,0.32,0.32,0.77,0.76
jbasic.csv,0.29,0.54,0.22,0.67,0.51,0.54,0.47,0.65,0.31,0.57,0.5,0.79,0.91,0.33,0.29,0.4,0.63
jrefactory.csv,0.23,0.7,0.17,0.53,0.44,0.46,0.38,0.46,0.25,0.59,0.57,0.79,0.85,0.55,0.28,0.38,0.63
jsecurity.csv,0.45,0.47,0.37,0.71,0.53,0.62,0.34,0.56,0.21,0.76,0.55,0.84,0.87,0.38,0.33,0.6,0.67
libopenmetaverse.csv,0.32,0.6,0.21,0.78,0.64,0.56,0.52,0.5,0.46,0.69,0.57,0.81,0.88,0.41,0.33,0.48,0.85
mobicents.csv,0.39,0.57,0.39,0.81,0.5,0.67,0.4,0.56,0.39,0.57,0.55,0.8,0.9,0.51,0.28,0.38,0.46
opendvr.csv,0.4,0.44,0.37,0.75,0.49,0.63,0.53,0.61,0.42,0.67,0.56,0.79,0.89,0.4,0.5,0.48,0.48
power-architect.csv,0.27,0.54,0.31,0.7,0.5,0.52,0.39,0.59,0.32,0.58,0.55,0.95,0.91,0.63,0.29,0.38,0.65
sidekar.csv,0.0,0.0,0.0,0.86,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0
wheat.csv,0.31,0.29,0.25,0.73,0.46,0.6,0.5,0.5,0.4,0.59,0.76,0.88,0.91,0.4,0.33,0.52,0.66
wsmt.csv,0.26,0.44,0.14,0.5,0.67,0.41,0.0,0.56,0.25,0.5,0.67,0.6,0.86,0.82,0.0,0.0,0.52
