,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.45,0.33,0.85,0.67,0.48,1.0,0.41,0.7,0.71,0.65,0.55,0.79
miranda-icq.csv,0.45,0.52,1.0,1.0,0.19,0.41,0.49,0.09,0.58,0.67,0.6,0.42
pclasses.csv,1.0,0.33,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.19,0.42,0.74
pfaedit.csv,0.09,0.59,0.0,0.67,0.8,0.06,0.78,0.26,0.0,0.41,0.6,0.32
rockbox.csv,0.36,0.85,0.02,1.0,0.72,0.29,0.7,0.61,0.44,0.45,0.56,0.74
theresa.csv,0.18,0.63,0.2,1.0,0.72,0.0,0.41,0.7,0.37,0.46,0.42,0.32
thrust.csv,0.0,0.19,0.39,0.0,0.37,0.59,0.16,0.17,0.25,0.12,0.22,0.26
tktoolkit.csv,0.27,0.44,0.15,0.0,0.87,0.82,0.46,0.48,0.77,0.64,0.36,0.95
trinitycore.csv,0.55,0.52,0.0,1.0,0.15,0.47,0.78,0.04,0.15,0.4,0.67,0.53
tzod.csv,0.27,0.59,0.59,1.0,0.57,0.12,0.54,0.74,0.5,0.61,0.55,0.16
yaprm.csv,0.36,0.37,0.0,0.67,0.17,0.29,0.68,0.39,0.06,0.58,0.38,0.26
