,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.69,0.83,0.48,0.57,0.52,0.42,0.58,0.45,0.52,0.51,0.54,0.46
miranda-icq.csv,0.55,0.5,0.42,0.38,0.89,0.44,0.47,0.89,0.59,0.41,0.43,0.64
pclasses.csv,0.67,0.55,0.0,0.8,0.8,0.5,0.5,0.0,0.0,0.86,0.75,0.47
pfaedit.csv,0.86,0.47,0.0,0.5,0.37,0.5,0.33,0.93,0.67,0.48,0.44,0.58
rockbox.csv,0.53,0.33,0.0,0.43,0.33,0.56,0.33,0.52,0.43,0.41,0.43,0.35
theresa.csv,0.5,0.39,0.8,0.47,0.35,0.0,0.54,0.35,0.43,0.4,0.53,0.62
thrust.csv,0.67,0.93,0.67,0.0,0.65,0.81,0.93,0.98,0.88,0.96,0.96,0.82
tktoolkit.csv,0.62,0.49,0.91,0.83,0.31,0.47,0.58,0.74,0.44,0.51,0.63,0.42
trinitycore.csv,0.48,0.47,0.0,0.48,0.92,0.46,0.35,0.86,0.94,0.49,0.51,0.5
tzod.csv,0.54,0.43,0.6,0.58,0.38,0.86,0.46,0.38,0.49,0.41,0.49,0.8
yaprm.csv,0.54,0.67,0.0,0.62,0.91,0.62,0.45,0.56,0.8,0.37,0.53,0.7
