,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.7,0.15,0.8,0.96
freelords.csv,0.43,0.16,0.82,0.95
jfreereport.csv,0.33,0.25,0.86,0.95
super-tux.csv,0.46,0.18,0.76,1.0
