,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.67,0.88,0.67,0.94
freelords.csv,0.12,0.94,0.59,0.8
jfreereport.csv,0.08,0.43,0.24,0.37
super-tux.csv,0.92,0.49,0.35,0.92
