,g-score
qtractor.csv,0.8
oppna-program-hsatools.csv,0.41
acegisecurity.csv,0.49
customsagetv.csv,0.12
openxava.csv,0.6
botsnscouts.csv,0.69
google-caja.csv,0.7
freebios.csv,0.47
tktoolkit.csv,0.68
mbse.csv,0.73
gebr.csv,0.53
flexpay.csv,0.32
bnetd.csv,0.61
gabel.csv,0.74
mpgravity.csv,0.72
vars-redux.csv,0.65
jam-daq.csv,0.68
haphazard.csv,0.41
httpcontentparser.csv,0.6
mia.csv,0.36
vrjuggler.csv,0.44
myfaces.csv,0.66
massiv.csv,0.72
wow-qrsk.csv,0.68
bacnet.csv,0.64
gretl.csv,0.61
empserver.csv,0.55
plplot.csv,0.65
mycila.csv,0.34
ogrehg.csv,0.62
alleg.csv,0.56
k3b.csv,0.51
jaxlib.csv,0.65
chaperon.csv,0.0
unbvision.csv,0.62
genecys.csv,0.76
openmalaria.csv,0.68
wishmaster.csv,0.17
bibedt.csv,0.45
yarp0.csv,0.47
tmva.csv,0.55
azureus.csv,0.63
bulmages.csv,0.54
ctrlr.csv,0.22
rodin-b-sharp.csv,0.44
kowari.csv,0.61
ppcboot.csv,0.56
clamav.csv,0.45
motu.csv,0.5
gnupdate.csv,0.71
customwars.csv,0.39
libtorrent.csv,0.61
fceugc.csv,0.55
minig.csv,0.24
calcubetimer.csv,0.06
iaml.csv,0.21
jppf-project.csv,0.32
anaxagora.csv,0.46
ipfire-wall.csv,0.76
sumatrapdf.csv,0.62
gwanted.csv,0.61
cubefs.csv,0.19
moving-pictures.csv,0.33
alsa.csv,0.37
nodal.csv,0.29
monetdb.csv,0.71
xemeiah.csv,0.58
riff-evolve.csv,0.33
owlapi.csv,0.71
ogre.csv,0.0
