,f1
qtractor.csv,0.79
oppna-program-hsatools.csv,0.53
acegisecurity.csv,0.46
customsagetv.csv,0.17
openxava.csv,0.22
botsnscouts.csv,0.71
google-caja.csv,0.77
freebios.csv,0.47
tktoolkit.csv,0.29
mbse.csv,0.49
gebr.csv,0.63
flexpay.csv,0.26
bnetd.csv,0.64
gabel.csv,0.21
mpgravity.csv,0.46
vars-redux.csv,0.59
jam-daq.csv,0.64
haphazard.csv,0.25
httpcontentparser.csv,0.25
mia.csv,0.18
vrjuggler.csv,0.25
myfaces.csv,0.51
massiv.csv,0.03
wow-qrsk.csv,0.51
bacnet.csv,0.52
gretl.csv,0.71
empserver.csv,0.58
plplot.csv,0.6
mycila.csv,0.26
ogrehg.csv,0.59
alleg.csv,0.64
k3b.csv,0.6
jaxlib.csv,0.1
chaperon.csv,0.0
unbvision.csv,0.49
genecys.csv,0.86
openmalaria.csv,0.63
wishmaster.csv,0.14
bibedt.csv,0.38
yarp0.csv,0.4
tmva.csv,0.64
azureus.csv,0.5
bulmages.csv,0.35
ctrlr.csv,0.18
rodin-b-sharp.csv,0.38
kowari.csv,0.17
ppcboot.csv,0.58
clamav.csv,0.48
motu.csv,0.41
gnupdate.csv,0.51
customwars.csv,0.28
libtorrent.csv,0.75
fceugc.csv,0.5
minig.csv,0.29
calcubetimer.csv,0.1
iaml.csv,0.28
jppf-project.csv,0.44
anaxagora.csv,0.25
ipfire-wall.csv,0.61
sumatrapdf.csv,0.61
gwanted.csv,0.35
cubefs.csv,0.25
moving-pictures.csv,0.38
alsa.csv,0.45
nodal.csv,0.23
monetdb.csv,0.56
xemeiah.csv,0.59
riff-evolve.csv,0.68
owlapi.csv,0.35
ogre.csv,0.38
