,ifa
qtractor.csv,0.0
oppna-program-hsatools.csv,0.0
acegisecurity.csv,2.0
customsagetv.csv,0.0
openxava.csv,38.0
botsnscouts.csv,0.0
google-caja.csv,1.0
freebios.csv,0.0
tktoolkit.csv,5.0
mbse.csv,4.0
gebr.csv,2.0
flexpay.csv,6.0
bnetd.csv,0.0
gabel.csv,21.0
mpgravity.csv,0.0
vars-redux.csv,1.0
jam-daq.csv,0.0
haphazard.csv,0.0
httpcontentparser.csv,9.0
mia.csv,7.0
vrjuggler.csv,10.0
myfaces.csv,1.0
massiv.csv,63.0
wow-qrsk.csv,15.0
bacnet.csv,1.0
gretl.csv,0.0
empserver.csv,0.0
plplot.csv,2.0
mycila.csv,0.0
ogrehg.csv,0.0
alleg.csv,1.0
k3b.csv,0.0
jaxlib.csv,14.0
chaperon.csv,51.0
unbvision.csv,2.0
genecys.csv,0.0
openmalaria.csv,2.0
wishmaster.csv,7.0
bibedt.csv,0.0
yarp0.csv,4.0
tmva.csv,3.0
azureus.csv,4.0
bulmages.csv,7.0
ctrlr.csv,0.0
rodin-b-sharp.csv,0.0
kowari.csv,5.0
ppcboot.csv,0.0
clamav.csv,2.0
motu.csv,1.0
gnupdate.csv,0.0
customwars.csv,8.0
libtorrent.csv,1.0
fceugc.csv,2.0
minig.csv,3.0
calcubetimer.csv,0.0
iaml.csv,1.0
jppf-project.csv,0.0
anaxagora.csv,12.0
ipfire-wall.csv,2.0
sumatrapdf.csv,0.0
gwanted.csv,10.0
cubefs.csv,0.0
moving-pictures.csv,2.0
alsa.csv,1.0
nodal.csv,4.0
monetdb.csv,0.0
xemeiah.csv,0.0
riff-evolve.csv,0.0
owlapi.csv,19.0
ogre.csv,0.0
