,pf
qtractor.csv,0.38
oppna-program-hsatools.csv,0.04
acegisecurity.csv,0.2
customsagetv.csv,0.05
openxava.csv,0.48
botsnscouts.csv,0.22
google-caja.csv,0.22
freebios.csv,0.43
tktoolkit.csv,0.54
mbse.csv,0.6
gebr.csv,0.13
flexpay.csv,0.19
bnetd.csv,0.29
gabel.csv,0.55
mpgravity.csv,0.61
vars-redux.csv,0.43
jam-daq.csv,0.56
haphazard.csv,0.42
httpcontentparser.csv,0.39
mia.csv,0.9
vrjuggler.csv,0.58
myfaces.csv,0.13
massiv.csv,0.37
wow-qrsk.csv,0.21
bacnet.csv,0.61
gretl.csv,0.3
empserver.csv,0.33
plplot.csv,0.16
mycila.csv,0.24
ogrehg.csv,0.28
alleg.csv,0.67
k3b.csv,0.21
jaxlib.csv,0.73
chaperon.csv,0.15
unbvision.csv,0.31
genecys.csv,0.33
openmalaria.csv,0.53
wishmaster.csv,0.21
bibedt.csv,0.17
yarp0.csv,0.32
tmva.csv,0.43
azureus.csv,0.29
bulmages.csv,0.39
ctrlr.csv,0.32
rodin-b-sharp.csv,0.41
kowari.csv,0.72
ppcboot.csv,0.43
clamav.csv,0.14
motu.csv,0.22
gnupdate.csv,0.24
customwars.csv,0.21
libtorrent.csv,0.5
fceugc.csv,0.28
minig.csv,0.1
calcubetimer.csv,0.0
iaml.csv,0.12
jppf-project.csv,0.12
anaxagora.csv,0.4
ipfire-wall.csv,0.43
sumatrapdf.csv,0.18
gwanted.csv,0.38
cubefs.csv,0.21
moving-pictures.csv,0.19
alsa.csv,0.2
nodal.csv,0.37
monetdb.csv,0.59
xemeiah.csv,0.27
riff-evolve.csv,0.91
owlapi.csv,0.6
ogre.csv,1.0
