,precision
qtractor.csv,0.73
oppna-program-hsatools.csv,0.98
acegisecurity.csv,0.46
customsagetv.csv,0.71
openxava.csv,0.14
botsnscouts.csv,0.75
google-caja.csv,0.9
freebios.csv,0.5
tktoolkit.csv,0.18
mbse.csv,0.34
gebr.csv,0.9
flexpay.csv,0.24
bnetd.csv,0.7
gabel.csv,0.12
mpgravity.csv,0.31
vars-redux.csv,0.53
jam-daq.csv,0.54
haphazard.csv,0.19
httpcontentparser.csv,0.16
mia.csv,0.1
vrjuggler.csv,0.17
myfaces.csv,0.43
massiv.csv,0.01
wow-qrsk.csv,0.42
bacnet.csv,0.39
gretl.csv,0.9
empserver.csv,0.63
plplot.csv,0.59
mycila.csv,0.23
ogrehg.csv,0.58
alleg.csv,0.61
k3b.csv,0.84
jaxlib.csv,0.05
chaperon.csv,0.0
unbvision.csv,0.41
genecys.csv,0.94
openmalaria.csv,0.54
wishmaster.csv,0.13
bibedt.csv,0.36
yarp0.csv,0.37
tmva.csv,0.78
azureus.csv,0.42
bulmages.csv,0.26
ctrlr.csv,0.17
rodin-b-sharp.csv,0.36
kowari.csv,0.1
ppcboot.csv,0.59
clamav.csv,0.62
motu.csv,0.38
gnupdate.csv,0.4
customwars.csv,0.23
libtorrent.csv,0.88
fceugc.csv,0.48
minig.csv,0.53
calcubetimer.csv,1.0
iaml.csv,0.66
jppf-project.csv,0.96
anaxagora.csv,0.17
ipfire-wall.csv,0.48
sumatrapdf.csv,0.64
gwanted.csv,0.25
cubefs.csv,0.63
moving-pictures.csv,0.57
alsa.csv,0.74
nodal.csv,0.21
monetdb.csv,0.41
xemeiah.csv,0.64
riff-evolve.csv,0.51
owlapi.csv,0.22
ogre.csv,0.93
