,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.26,0.87,0.1,0.59,0.44,0.58,0.27,0.28,0.67,0.61,0.6,0.33,0.47
cuberok.csv,0.05,0.71,0.04,0.4,0.56,0.55,0.34,0.28,0.57,0.48,0.59,0.18,0.38
exist.csv,0.26,0.78,0.05,0.52,0.4,0.54,0.36,0.17,0.79,0.55,0.6,0.16,0.45
google-web-toolkit.csv,0.26,0.71,0.08,0.67,0.38,0.49,0.21,0.28,0.68,0.56,0.72,0.2,0.45
gwanted.csv,0.34,0.84,0.09,0.59,0.5,0.59,0.43,0.41,0.82,0.7,0.64,0.21,0.65
ivatamasks.csv,0.27,0.83,0.09,0.52,0.41,0.54,0.3,0.22,0.61,0.54,0.62,0.14,0.47
ivataopenportal.csv,0.26,0.7,0.06,0.46,0.39,0.73,0.33,0.17,0.64,0.56,0.61,0.14,0.37
jaxen.csv,0.27,0.69,0.36,0.54,0.37,0.5,0.32,0.2,0.62,0.68,0.6,0.12,0.42
rockbox.csv,0.64,0.71,0.24,0.57,0.48,0.61,0.32,0.21,0.67,0.55,0.66,0.26,0.67
rodin-b-sharp.csv,0.67,0.59,0.0,0.49,0.35,0.53,0.76,0.16,0.68,0.61,0.57,0.15,0.38
tcl.csv,0.2,0.66,0.12,0.66,0.32,0.51,0.39,0.18,0.52,0.46,0.6,0.12,0.26
umber.csv,0.88,0.76,0.07,0.49,0.38,0.56,0.39,0.15,0.61,0.55,0.58,0.14,0.41
wheat.csv,0.26,0.75,0.02,0.0,0.44,0.56,0.36,0.1,0.58,0.75,0.55,0.18,0.59
