,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.39,0.43,0.36,0.43,0.57,0.43,0.37,0.0,0.33,0.38,0.4,0.47,0.42
fido.csv,0.83,0.39,0.75,0.0,0.67,0.94,0.58,0.97,0.75,0.82,0.0,0.92,0.43
fleet-simulator.csv,0.35,0.38,0.38,0.4,0.8,0.33,0.36,0.35,0.32,0.29,0.49,0.56,0.42
fluent-nhibernate.csv,0.83,0.69,0.48,0.4,0.97,0.62,0.37,0.45,0.6,0.0,0.88,0.59,0.61
galaxium.csv,0.37,0.41,0.53,0.36,0.48,0.91,0.38,0.37,0.33,0.33,0.59,0.45,0.44
itext.csv,0.36,0.35,0.35,0.35,0.38,0.33,0.34,0.34,0.32,0.33,0.42,0.44,0.39
mecat.csv,0.73,0.83,0.0,0.5,0.98,0.0,0.67,0.95,0.89,0.0,0.75,0.93,0.0
mediaportal.csv,0.52,0.88,0.94,0.86,0.36,0.0,0.89,0.55,0.89,0.56,0.8,0.6,0.71
ninject.csv,0.47,0.48,0.42,0.39,0.3,0.58,0.53,0.6,0.6,0.72,0.64,0.47,0.61
smartgwt.csv,0.76,0.47,0.62,0.88,0.36,0.32,0.39,0.67,0.91,0.89,0.4,0.49,0.58
sqlpower-library.csv,0.47,0.36,0.37,0.42,0.72,0.45,0.35,0.37,0.34,0.38,0.5,0.47,0.62
stuproa-cims.csv,0.48,0.75,0.89,0.86,0.68,0.0,0.0,0.68,0.89,0.0,0.53,0.72,0.45
uface.csv,0.38,0.4,0.36,0.41,0.43,0.32,0.33,0.33,0.32,0.43,0.4,0.39,0.37
