,campsoft.csv,sevenupdate.csv,extprosys.csv,opennms.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,freewrl.csv,roller.csv,aten.csv,xfce.csv,papertoolkit.csv,glas.csv,ibatisdb.csv,soar.csv,primefaces.csv,xcf.csv,web-cat.csv
encog-cs.csv,0.24,0.44,0.47,0.45,0.33,0.0,0.7,0.36,0.17,0.4,0.49,0.57,0.31,0.66,0.32,0.67,0.3,0.0,0.59,0.66
extprosys.csv,0.59,0.0,0.6,0.3,0.46,0.65,0.52,0.36,0.57,0.0,0.66,0.54,0.0,0.36,0.52,0.33,0.0,0.39,0.26,0.51
freewrl.csv,0.24,0.0,0.05,0.62,0.0,0.44,0.68,0.55,0.69,0.76,0.66,0.0,0.48,0.62,0.27,0.71,0.37,0.27,0.63,0.55
glas.csv,0.83,0.43,0.43,0.65,0.62,0.49,0.13,0.75,0.51,0.65,0.58,0.68,0.66,0.37,0.64,0.77,0.55,0.39,0.49,0.53
ibatisdb.csv,0.0,0.37,0.44,0.36,0.25,0.33,0.47,0.47,0.57,0.05,0.05,0.15,0.53,0.38,0.43,0.79,0.0,0.15,0.33,0.3
japano.csv,0.0,0.0,0.59,0.57,0.0,0.77,0.21,0.44,0.2,0.0,0.46,0.73,0.53,0.21,0.46,0.53,0.48,0.17,0.33,0.63
lockss.csv,0.83,0.32,0.5,0.54,0.5,0.48,0.48,0.61,0.71,0.26,0.59,0.46,0.55,0.91,0.17,0.43,0.42,0.34,0.56,0.58
officefloor.csv,0.82,0.26,0.32,0.29,0.04,0.43,0.46,0.27,0.67,0.0,0.62,0.0,0.63,0.0,0.17,0.55,0.4,0.12,0.33,0.48
opennms.csv,0.89,0.27,0.11,0.69,0.43,0.2,0.28,0.49,0.21,0.43,0.23,0.12,0.58,0.63,0.13,0.2,0.07,0.15,0.31,0.13
papertoolkit.csv,0.0,0.26,0.25,0.17,0.16,0.26,0.37,0.27,0.49,0.18,0.43,0.29,0.1,0.97,0.22,0.13,0.44,0.24,0.46,0.3
primefaces.csv,0.64,0.48,0.0,0.55,0.54,0.37,0.09,0.17,0.05,0.23,0.54,0.0,0.0,0.19,0.0,0.52,0.45,0.79,0.62,0.53
rohxel.csv,0.89,0.53,0.48,0.13,0.77,0.39,0.34,0.27,0.24,0.34,0.44,0.32,0.06,0.0,0.55,0.1,0.37,0.56,0.11,0.06
roller.csv,0.7,0.0,0.05,0.58,0.57,0.44,0.51,0.0,0.63,0.26,0.76,0.0,0.0,0.71,0.68,0.74,0.16,0.45,0.47,0.19
sevenupdate.csv,0.0,0.73,0.0,0.2,0.0,0.0,0.3,0.38,0.05,0.0,0.0,0.0,0.64,0.52,0.0,0.0,0.0,0.0,0.35,0.0
soar.csv,0.77,0.34,0.13,0.47,0.57,0.0,0.48,0.66,0.33,0.33,0.49,0.0,0.0,0.36,0.09,0.49,0.67,0.27,0.45,0.13
web-cat.csv,0.38,0.59,0.09,0.29,0.32,0.36,0.17,0.43,0.43,0.0,0.56,0.0,0.68,0.36,0.47,0.46,0.17,0.33,0.27,0.75
xcf.csv,0.0,0.46,0.55,0.56,0.61,0.49,0.61,0.47,0.66,0.64,0.69,0.69,0.5,0.38,0.72,0.68,0.29,0.18,0.78,0.57
xfce.csv,0.0,0.39,0.4,0.64,0.5,0.51,0.58,0.35,0.0,0.56,0.73,0.66,0.64,0.89,0.17,0.34,0.46,0.46,0.67,0.13
