,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.75,0.9,1.0,0.37,0.89,0.8,0.44,0.9,0.74,0.71
arsenal-1.csv,0.98,0.79,0.45,0.87,0.91,0.72,0.87,0.73,0.74,0.8
barracudamvc.csv,0.39,0.8,0.95,0.94,0.65,0.98,0.88,0.9,0.87,1.0
irplus.csv,0.74,0.76,0.78,0.48,0.89,0.48,0.41,0.7,0.73,0.59
lite.csv,0.77,0.89,0.63,0.78,0.94,0.69,0.37,0.51,0.64,0.73
mevenide.csv,0.85,0.76,0.83,1.0,0.89,1.0,0.93,0.24,0.96,0.83
ontopia.csv,0.86,0.82,0.73,0.75,0.46,0.78,0.82,0.9,0.94,1.0
openintents.csv,0.65,0.43,1.0,0.81,0.72,0.86,0.9,0.75,0.89,0.59
ta3d.csv,0.97,0.91,0.94,1.0,0.86,0.73,0.87,0.75,0.95,0.63
tweetsharp.csv,0.69,0.67,0.78,0.8,0.53,0.77,0.92,0.88,0.33,0.72
