,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.0,0.42,0.5,0.51,0.89,0.74,0.35,0.36,0.0
atlc.csv,0.98,0.54,0.67,0.46,0.64,0.66,0.65,0.53,0.68,0.64
ipfilter.csv,0.29,0.28,0.55,0.44,0.49,0.55,0.4,1.0,0.52,0.62
jmol.csv,0.0,0.61,0.5,1.0,0.53,0.69,0.64,0.42,0.58,0.45
pfaedit.csv,0.44,0.36,0.98,0.52,0.75,0.59,0.48,0.6,0.51,0.25
rockbox.csv,0.57,0.0,0.68,0.52,0.36,0.54,0.58,0.53,0.61,1.0
snakeyaml.csv,0.0,0.34,0.3,0.23,0.97,0.41,0.53,0.0,0.51,0.43
theresa.csv,0.0,1.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
trinitycore.csv,0.0,0.7,0.46,0.49,0.49,0.31,0.0,0.4,0.88,0.3
wxcode.csv,0.0,0.0,0.07,0.06,0.05,0.12,1.0,0.02,0.21,0.13
