,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.22,0.53,0.28,0.55,0.43,0.57,0.34,0.98,0.25,0.48
haphazard.csv,0.04,0.17,0.0,0.07,0.0,0.06,0.4,0.0,1.0,0.11
jicarilla.csv,0.22,0.0,0.99,0.0,0.0,0.13,0.13,0.24,0.27,0.11
ondex.csv,0.49,0.06,0.0,0.0,0.48,0.06,0.04,0.63,0.65,0.93
optalgtoolkit.csv,0.71,0.57,0.24,0.45,0.58,0.87,0.44,0.35,0.26,0.63
ossim.csv,0.31,0.0,0.0,0.84,0.0,0.0,0.04,0.0,0.0,0.0
projectts.csv,0.65,0.17,0.54,0.68,0.39,0.13,0.97,0.0,0.52,0.31
sabbu.csv,0.94,0.44,0.18,0.57,0.61,0.28,0.36,0.38,0.44,0.62
vxl.csv,0.36,0.88,0.61,0.07,0.0,0.06,0.37,0.0,0.18,0.07
zact.csv,0.0,0.0,0.0,0.0,0.88,0.19,0.0,0.06,0.0,0.0
