,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.31,0.26,0.4,0.06,0.04,0.39,0.52,1.0,0.09,0.16
haphazard.csv,0.25,0.16,0.0,0.05,0.0,1.0,0.76,0.0,1.0,0.14
jicarilla.csv,0.37,0.0,0.94,0.0,0.0,0.33,0.67,0.75,0.43,0.5
ondex.csv,0.54,0.22,0.0,0.0,0.05,0.5,1.0,0.8,0.26,1.0
optalgtoolkit.csv,0.63,0.26,0.3,0.05,0.06,1.0,0.58,0.67,0.14,0.2
ossim.csv,0.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
projectts.csv,0.58,0.25,0.48,0.07,0.05,0.33,0.97,0.68,0.22,0.14
sabbu.csv,0.98,0.27,0.45,0.08,0.06,0.23,0.6,0.75,0.16,0.26
vxl.csv,0.39,1.0,0.54,0.01,0.0,0.33,0.59,0.69,0.25,0.08
zact.csv,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.67,0.0,0.0
