,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.46,0.51,0.32,0.76,0.59,0.65,0.89,0.0,0.56,0.53
haphazard.csv,0.11,0.24,0.0,0.07,0.08,0.0,0.15,0.0,0.0,0.11
jicarilla.csv,0.35,0.01,0.05,0.2,0.06,0.13,0.07,0.17,0.08,0.02
ondex.csv,0.44,0.06,0.0,0.08,0.7,0.03,0.0,0.39,0.48,0.0
optalgtoolkit.csv,0.52,0.58,0.43,0.5,0.75,0.0,0.41,0.39,0.37,0.55
ossim.csv,0.44,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02
projectts.csv,0.63,0.96,0.57,0.65,0.88,0.97,0.04,1.0,0.81,0.91
sabbu.csv,0.02,0.36,0.16,0.38,0.61,0.55,0.3,0.28,0.62,0.36
vxl.csv,0.83,0.0,0.76,0.33,0.23,0.06,0.89,1.0,0.12,0.14
zact.csv,0.0,0.0,0.05,0.01,0.0,0.19,0.0,0.06,0.0,0.02
