,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.93,0.69,0.82,0.78,0.82,0.72,0.94,0.02,0.95,0.74
haphazard.csv,0.97,0.9,1.0,0.94,1.0,0.95,0.67,1.0,0.0,0.92
jicarilla.csv,0.88,1.0,0.05,1.02,1.0,0.9,0.89,0.81,0.77,0.91
ondex.csv,0.68,0.95,1.0,1.0,0.82,0.95,0.97,0.53,0.57,0.09
optalgtoolkit.csv,0.55,0.69,0.9,0.75,0.76,0.16,0.72,0.78,0.85,0.63
ossim.csv,0.85,1.0,1.0,0.19,1.0,1.0,0.97,1.0,1.0,1.0
projectts.csv,0.66,0.96,0.71,0.66,0.89,0.99,0.05,1.01,0.81,0.95
sabbu.csv,0.07,0.69,0.86,0.58,0.68,0.92,0.74,0.72,0.82,0.53
vxl.csv,0.97,0.14,0.76,0.99,1.03,0.95,0.89,1.0,0.85,0.95
zact.csv,1.0,1.0,1.0,1.0,0.14,0.86,1.0,0.96,1.0,1.0
