,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.23,0.35,0.3,0.11,0.08,0.5,0.6,0.99,0.13,0.24
haphazard.csv,0.06,0.14,0.0,0.06,0.0,0.1,0.48,0.0,1.0,0.11
jicarilla.csv,0.25,0.0,0.97,0.0,0.0,0.16,0.19,0.32,0.3,0.15
ondex.csv,0.51,0.09,0.0,0.0,0.09,0.1,0.05,0.71,0.38,0.95
optalgtoolkit.csv,0.71,0.37,0.25,0.09,0.12,0.91,0.48,0.43,0.17,0.32
ossim.csv,0.33,0.0,0.0,0.9,0.0,0.0,0.05,0.0,0.0,0.0
projectts.csv,0.68,0.4,0.52,0.14,0.1,0.47,0.97,0.76,0.36,0.24
sabbu.csv,0.96,0.32,0.23,0.14,0.12,0.24,0.42,0.47,0.24,0.36
vxl.csv,0.44,0.93,0.7,0.02,0.0,0.09,0.72,0.8,0.19,0.07
zact.csv,0.0,0.0,0.0,0.0,0.92,0.21,0.0,0.09,0.0,0.0
