,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.89,0.55,0.7,0.42,0.55,0.42,0.48,0.42,0.56,0.55
haphazard.csv,0.88,0.97,0.0,0.95,0.89,0.0,0.94,0.0,0.92,0.95
jicarilla.csv,0.97,0.0,0.83,0.98,0.86,0.83,0.83,0.92,0.86,0.83
ondex.csv,0.71,0.89,0.0,0.95,0.48,0.5,0.0,0.54,0.62,0.97
optalgtoolkit.csv,0.55,0.57,0.83,0.5,0.43,0.62,0.5,0.71,0.82,0.49
ossim.csv,0.9,0.67,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.67
projectts.csv,0.43,0.42,0.6,0.47,0.36,0.31,0.59,0.3,0.35,0.32
sabbu.csv,0.53,0.59,0.91,0.57,0.47,0.5,0.65,0.6,0.47,0.62
vxl.csv,0.66,0.91,0.57,0.92,0.89,0.67,0.47,0.34,0.88,0.96
zact.csv,0.0,0.0,0.5,0.5,0.83,0.89,0.0,0.67,0.0,0.67
