,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,0.62,0.51,0.73,0.33,0.59,0.7,0.32,0.45,0.43,0.78,0.89,0.47,0.39,0.12,0.59,0.38,0.94,0.42
buddata-ebxml-registry.csv,1.0,0.94,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,0.94,1.0,0.94,1.0,1.0,1.0,1.0,1.0
co-ode-owl-plugins.csv,0.29,0.46,0.55,0.5,0.54,0.66,0.35,0.25,0.05,1.0,0.59,0.8,0.22,0.06,0.18,0.14,0.14,0.27
firebreath.csv,0.79,0.6,1.0,0.67,0.7,0.64,0.76,0.97,0.71,0.5,0.7,0.53,0.5,0.94,1.0,0.9,1.0,0.4
gretl.csv,0.79,0.91,0.73,1.0,0.85,0.95,0.91,0.82,0.67,1.0,0.85,0.87,1.0,0.88,0.99,0.67,0.91,0.82
konversation.csv,0.08,0.29,0.36,1.0,0.2,0.3,0.26,0.22,0.1,0.33,0.13,0.53,0.28,0.0,0.47,0.43,0.35,0.24
lazarus-ccr.csv,1.0,0.51,0.0,0.75,0.76,0.84,0.56,0.68,0.48,0.72,0.11,0.67,0.72,0.38,0.26,0.67,0.97,0.57
linuxsh.csv,0.62,0.57,0.91,0.83,0.72,0.73,0.79,0.58,0.76,0.22,0.78,0.87,0.89,0.88,0.69,0.57,0.48,0.69
migen.csv,0.17,0.26,0.45,0.75,0.33,0.16,0.97,0.13,0.1,0.17,0.56,0.4,0.22,0.0,0.34,0.24,0.49,0.25
moviesandbox.csv,0.38,0.49,0.64,0.58,0.61,0.98,0.44,0.3,0.1,0.06,0.37,0.8,0.5,0.06,0.25,0.29,0.27,0.24
mvnforum.csv,0.21,0.23,0.27,0.58,0.39,0.52,0.29,0.07,0.05,0.44,0.31,0.33,0.89,0.06,0.33,0.43,0.39,0.31
ontomorphtab.csv,0.58,1.0,0.73,0.5,0.54,0.61,0.71,0.58,0.0,0.28,0.85,0.73,0.61,0.12,0.57,0.43,0.51,0.61
opengs.csv,0.38,0.26,0.18,0.08,0.39,0.64,0.53,0.22,0.0,0.17,0.98,0.47,0.44,0.12,0.41,0.1,0.31,0.22
plplot.csv,0.96,0.83,1.0,0.67,0.74,0.77,0.79,0.53,0.62,0.22,0.89,0.87,0.67,0.62,0.99,0.9,1.0,0.43
scite-ru.csv,0.75,0.91,0.82,0.33,0.78,0.68,0.85,0.6,0.76,0.78,0.98,1.0,0.89,0.31,0.51,0.67,0.51,0.69
tokratan.csv,0.12,0.17,0.0,0.67,0.46,0.18,0.32,0.18,0.33,0.0,0.06,0.93,0.11,0.69,0.47,0.43,0.23,0.12
vrjuggler.csv,0.46,0.2,0.0,0.5,0.15,0.3,0.26,0.1,0.19,0.22,0.13,0.27,0.22,0.81,0.07,0.1,0.18,0.25
xuggle.csv,0.54,0.49,1.0,0.75,0.89,0.73,0.38,0.67,0.48,0.61,0.91,0.73,0.56,0.0,0.79,0.9,0.86,0.72
