,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,0.94,0.68,0.76,0.81,0.63,0.62,0.92,0.63,0.65,0.51,0.68,0.63,0.74,0.96,0.6,0.79,0.14,0.63
buddata-ebxml-registry.csv,1.0,0.86,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.99,0.95,0.95,0.98,1.0,1.0,1.0,1.0,0.0
co-ode-owl-plugins.csv,0.72,0.58,0.67,0.54,0.5,0.5,0.7,0.76,0.95,0.02,0.53,0.89,0.82,0.94,0.83,0.87,0.88,0.77
firebreath.csv,0.74,0.78,1.0,0.6,0.65,0.52,0.82,0.03,0.84,1.01,0.76,0.88,0.83,0.92,1.0,0.78,1.0,0.78
gretl.csv,0.68,0.91,0.97,0.79,0.93,0.89,0.75,0.76,0.73,0.95,0.91,0.94,0.89,0.89,0.03,0.61,0.9,0.77
konversation.csv,0.96,0.86,0.72,0.0,0.81,0.74,0.74,0.81,0.93,0.68,0.89,0.67,0.76,1.0,0.78,0.72,0.85,0.91
lazarus-ccr.csv,0.04,0.68,1.01,0.54,0.87,0.84,0.73,0.76,0.63,0.43,0.92,0.57,0.59,0.74,0.75,0.76,1.0,0.66
linuxsh.csv,0.65,0.64,0.09,0.67,0.75,0.93,0.75,0.68,0.9,0.88,0.77,0.38,0.58,0.66,0.83,0.84,0.7,0.59
migen.csv,0.86,0.76,0.82,0.37,0.7,0.85,0.03,0.87,0.9,0.87,0.58,0.65,0.8,1.01,0.71,0.77,0.7,0.79
moviesandbox.csv,0.63,0.52,0.54,0.47,0.44,0.02,0.59,0.74,0.91,0.95,0.63,0.36,0.56,0.94,0.77,0.74,0.82,0.8
mvnforum.csv,0.81,0.96,0.81,0.42,0.79,0.6,0.74,0.95,0.96,0.62,0.7,0.73,0.11,0.96,0.84,0.75,0.95,0.73
ontomorphtab.csv,0.65,0.05,0.68,0.54,0.48,0.52,0.55,0.55,1.0,0.75,0.59,0.61,0.6,0.88,0.47,0.58,0.64,0.63
opengs.csv,0.69,0.77,0.86,0.93,0.62,0.54,0.57,0.79,1.0,0.83,0.02,0.63,0.72,0.88,0.61,0.91,0.73,0.78
plplot.csv,0.86,0.69,0.96,0.5,0.46,0.56,0.73,0.51,0.72,1.05,0.67,0.69,0.78,0.82,1.0,0.1,0.98,0.76
scite-ru.csv,0.69,0.86,0.89,0.82,0.47,0.58,0.67,0.61,0.24,0.53,0.65,0.92,0.92,0.77,0.58,0.52,0.75,1.05
tokratan.csv,0.88,0.83,1.0,0.41,0.58,0.83,0.7,0.82,0.7,1.02,0.94,0.07,0.9,0.66,0.63,0.59,0.82,0.88
vrjuggler.csv,0.76,1.07,1.0,0.52,0.85,0.74,0.78,0.9,0.89,0.8,0.87,0.73,0.83,0.2,0.93,0.9,0.82,0.79
xuggle.csv,0.85,0.88,0.93,0.59,0.11,0.79,0.86,0.83,0.84,0.8,0.69,0.74,0.74,1.0,0.89,0.95,0.87,1.04
