,openefm.csv,jgnash.csv,ingex.csv,ambulant.csv,synecdoche.csv
ambulant.csv,0.86,0.69,0.79,0.39,0.97
ingex.csv,0.76,0.8,0.51,0.66,0.76
jgnash.csv,0.6,0.41,0.64,0.65,0.78
openefm.csv,0.44,0.68,0.83,0.66,0.79
synecdoche.csv,0.67,0.72,0.83,0.91,0.46
