,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.0,0.77,0.61,0.53,0.66,0.92,0.73,0.67,0.8,0.81
aime.csv,0.73,0.72,0.67,0.72,0.0,0.73,0.81,0.8,0.74,0.97
badtrinitycore.csv,0.81,1.0,0.87,0.09,0.73,0.72,0.93,0.79,0.93,0.8
electric-core.csv,0.93,0.73,0.09,0.68,0.82,0.79,0.77,0.69,0.6,0.79
geochat.csv,0.63,0.88,0.74,0.97,0.69,0.53,0.54,0.72,0.62,0.03
mumble.csv,0.49,0.48,0.71,0.82,0.93,0.92,0.16,0.76,0.71,0.84
olsrd.csv,0.62,0.01,0.72,0.73,0.58,0.63,0.56,0.63,0.68,0.57
silvertree.csv,0.71,0.78,0.64,0.9,0.87,0.0,0.61,0.94,0.84,0.82
skia.csv,0.48,0.56,0.61,0.57,0.72,0.73,0.66,0.74,0.04,0.85
t-2.csv,0.94,1.05,0.8,0.81,0.99,1.05,0.9,0.08,0.87,0.72
